variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
total_200249_o65_private,"90,819","7,930","122,883","58,804","443,409","67,551","49,293","18,398","4,050","400,686","143,714","19,632","28,503","180,199","113,954","60,191","43,325","83,032","74,620","29,911","65,653","88,436","175,409","80,675","46,716","107,316","18,934","27,817","45,327","22,480","118,291","34,515","251,274","170,393","10,523","215,983","60,366","68,374","228,078","12,557","90,581","14,915","111,691","355,856","31,385","12,095","98,758","96,497","38,816","106,311","9,912","65,871"
with_200249_o65_private,"48,322","3,844","54,683","29,007","170,236","30,339","22,994","11,136","2,093","153,208","64,507","12,036","13,308","91,627","55,101","35,664","25,441","44,162","34,681","15,471","37,834","52,114","104,984","49,337","22,695","49,307","9,585","15,016","17,485","11,742","56,062","17,373","124,779","82,343","6,784","110,345","30,107","32,235","125,503","7,045","48,425","9,089","49,402","149,896","15,192","6,321","49,164","46,466","21,512","55,699","5,097","22,475"
no_200249_o65_private,"42,497","4,086","68,200","29,797","273,173","37,212","26,299","7,262","1,957","247,478","79,207","7,596","15,195","88,572","58,853","24,527","17,884","38,870","39,939","14,440","27,819","36,322","70,425","31,338","24,021","58,009","9,349","12,801","27,842","10,738","62,229","17,142","126,495","88,050","3,739","105,638","30,259","36,139","102,575","5,512","42,156","5,826","62,289","205,960","16,193","5,774","49,594","50,031","17,304","50,612","4,815","43,396"
total_250299_u19_private,"110,154","15,248","136,814","64,366","684,627","102,147","58,311","20,106","12,835","389,539","222,461","24,853","52,509","224,947","159,890","70,227","67,726","83,730","90,366","23,484","109,898","84,843","185,542","112,480","60,966","129,006","25,456","48,840","63,541","23,491","137,747","39,374","274,396","206,910","18,831","220,798","90,974","76,538","216,567","16,917","97,548","16,250","149,491","634,629","107,274","9,842","152,081","143,267","33,206","122,398","11,140","26,982"
with_250299_u19_private,"77,189","8,139","90,291","36,191","403,200","63,135","31,962","13,151","6,983","243,606","139,810","16,582","38,514","156,208","112,805","51,004","47,972","54,322","52,222","18,958","69,648","55,585","141,430","80,767","39,934","97,198","15,211","38,053","44,436","14,480","81,991","17,743","174,445","130,190","17,333","163,641","61,366","52,045","151,350","11,748","64,355","13,944","98,416","408,402","93,802","5,212","108,687","90,958","24,648","94,989","9,511","21,826"
no_250299_u19_private,"32,965","7,109","46,523","28,175","281,427","39,012","26,349","6,955","5,852","145,933","82,651","8,271","13,995","68,739","47,085","19,223","19,754","29,408","38,144","4,526","40,250","29,258","44,112","31,713","21,032","31,808","10,245","10,787","19,105","9,011","55,756","21,631","99,951","76,720","1,498","57,157","29,608","24,493","65,217","5,169","33,193","2,306","51,075","226,227","13,472","4,630","43,394","52,309","8,558","27,409","1,629","5,156"
total_250299_1964_private,"251,528","31,153","343,607","145,533","1,704,541","251,373","134,785","46,765","24,661","1,101,732","527,445","52,100","93,813","562,542","343,567","159,605","142,814","210,149","210,421","71,059","234,803","236,187","477,850","244,424","136,371","295,484","56,594","99,302","164,037","53,552","347,129","99,577","764,736","519,371","34,955","561,110","204,093","191,524","555,539","45,709","267,804","39,377","367,973","1,478,983","174,361","28,224","344,794","312,673","85,905","293,210","27,329","136,587"
with_250299_1964_private,"193,361","19,877","235,573","107,498","1,075,547","177,664","86,610","33,275","14,369","790,691","386,519","41,838","68,773","421,709","265,690","130,843","115,704","151,749","145,805","52,106","164,985","163,433","367,392","186,526","107,160","232,866","40,531","82,941","122,944","42,392","230,322","60,358","506,372","382,908","30,797","429,322","150,266","136,294","431,554","34,446","202,402","32,202","273,925","1,012,424","145,217","20,709","251,115","226,489","64,348","236,812","22,019","103,561"
no_250299_1964_private,"58,167","11,276","108,034","38,035","628,994","73,709","48,175","13,490","10,292","311,041","140,926","10,262","25,040","140,833","77,877","28,762","27,110","58,400","64,616","18,953","69,818","72,754","110,458","57,898","29,211","62,618","16,063","16,361","41,093","11,160","116,807","39,219","258,364","136,463","4,158","131,788","53,827","55,230","123,985","11,263","65,402","7,175","94,048","466,559","29,144","7,515","93,679","86,184","21,557","56,398","5,310","33,026"
total_250299_o65_private,"75,583","7,252","118,267","48,163","425,397","69,825","41,728","18,063","3,799","405,220","139,368","18,804","30,626","170,217","108,928","50,244","44,731","71,294","66,607","25,327","68,325","83,236","178,220","82,436","46,208","105,631","18,654","26,459","45,114","18,660","106,757","30,322","241,445","160,560","11,698","204,376","56,460","65,436","224,446","14,800","87,635","12,542","111,729","327,026","33,681","12,154","103,556","97,336","38,247","101,242","9,782","44,638"
with_250299_o65_private,"42,732","4,478","54,889","24,194","177,611","34,668","19,377","11,453","1,961","174,696","67,793","11,284","16,576","95,196","61,713","30,285","24,845","40,935","30,375","13,009","41,899","48,446","119,252","54,890","22,998","54,207","9,325","16,095","17,295","9,382","56,366","15,033","123,131","86,430","7,036","109,251","31,717","36,174","128,302","8,209","48,132","8,815","55,563","150,024","17,028","7,496","58,138","56,629","24,161","58,094","4,399","15,085"
no_250299_o65_private,"32,851","2,774","63,378","23,969","247,786","35,157","22,351","6,610","1,838","230,524","71,575","7,520","14,050","75,021","47,215","19,959","19,886","30,359","36,232","12,318","26,426","34,790","58,968","27,546","23,210","51,424","9,329","10,364","27,819","9,278","50,391","15,289","118,314","74,130","4,662","95,125","24,743","29,262","96,144","6,591","39,503","3,727","56,166","177,002","16,653","4,658","45,418","40,707","14,086","43,148","5,383","29,553"
total_300399_u19_private,"153,257","23,017","227,396","94,228","1,061,209","175,072","82,755","27,534","6,271","641,466","336,570","53,981","75,653","386,302","238,439","113,892","109,126","144,060","132,299","42,972","184,580","163,697","312,244","187,956","88,238","212,740","39,346","75,463","100,112","43,360","231,273","60,893","466,331","319,864","23,191","380,842","129,689","120,908","367,276","27,213","153,871","39,347","214,708","1,023,093","194,367","16,758","247,576","231,817","54,031","210,131","26,110","24,670"
with_300399_u19_private,"121,051","16,453","174,305","73,901","746,247","128,778","65,701","20,989","4,516","464,870","257,086","43,361","59,692","303,126","198,495","95,483","91,488","117,506","99,792","32,387","137,391","124,257","264,127","156,069","65,259","174,449","31,549","65,052","78,758","35,269","174,501","39,021","341,340","246,333","20,774","310,485","100,002","88,362","293,766","21,357","119,161","35,046","166,829","742,997","169,498","12,678","201,249","166,895","45,035","182,623","20,710","21,377"
no_300399_u19_private,"32,206","6,564","53,091","20,327","314,962","46,294","17,054","6,545","1,755","176,596","79,484","10,620","15,961","83,176","39,944","18,409","17,638","26,554","32,507","10,585","47,189","39,440","48,117","31,887","22,979","38,291","7,797","10,411","21,354","8,091","56,772","21,872","124,991","73,531","2,417","70,357","29,687","32,546","73,510","5,856","34,710","4,301","47,879","280,096","24,869","4,080","46,327","64,922","8,996","27,508","5,400","3,293"
total_300399_1964_private,"414,507","51,929","627,525","256,860","3,015,532","487,668","232,391","81,043","35,419","1,913,030","891,619","119,985","184,477","1,044,148","606,207","280,883","250,781","382,216","347,518","120,673","441,539","463,264","829,658","474,390","243,077","546,924","93,785","169,420","289,096","115,746","601,125","167,356","1,434,963","920,601","66,107","999,412","335,563","337,358","1,072,868","94,109","426,107","82,164","615,822","2,596,068","328,945","55,097","650,517","604,362","143,311","541,082","54,698","154,656"
with_300399_1964_private,"350,607","36,599","479,228","213,537","2,161,073","374,858","181,007","61,566","27,593","1,495,777","715,228","103,531","146,547","840,964","512,432","242,812","216,863","319,516","271,366","96,861","348,261","356,986","688,850","408,246","203,045","466,291","76,285","146,094","222,187","98,175","459,819","121,865","1,072,139","761,184","60,182","831,423","264,957","271,006","899,420","73,777","358,159","74,386","510,988","1,967,666","280,729","44,419","531,787","477,266","118,618","473,347","46,974","123,518"
no_300399_1964_private,"63,900","15,330","148,297","43,323","854,459","112,810","51,384","19,477","7,826","417,253","176,391","16,454","37,930","203,184","93,775","38,071","33,918","62,700","76,152","23,812","93,278","106,278","140,808","66,144","40,032","80,633","17,500","23,326","66,909","17,571","141,306","45,491","362,824","159,417","5,925","167,989","70,606","66,352","173,448","20,332","67,948","7,778","104,834","628,402","48,216","10,678","118,730","127,096","24,693","67,735","7,724","31,138"
total_300399_o65_private,"133,371","11,614","195,788","75,619","722,386","130,265","85,473","33,216","7,131","672,954","226,789","41,984","56,024","308,754","184,050","91,076","79,306","113,134","105,314","43,642","124,708","156,818","313,166","157,582","68,518","169,574","35,826","50,404","74,715","40,276","190,145","53,904","441,208","270,707","15,829","339,420","98,708","116,319","371,962","26,025","147,105","23,953","174,785","551,313","59,268","19,143","184,560","186,320","57,833","178,347","17,200","47,510"
with_300399_o65_private,"85,976","7,907","96,725","39,504","352,561","65,869","43,360","21,295","5,007","322,318","122,684","28,727","31,708","178,025","108,672","55,232","46,960","72,800","56,439","24,213","87,316","99,339","219,616","108,924","41,345","92,449","21,544","28,510","34,976","25,531","111,212","32,104","255,904","155,988","10,667","194,710","60,401","64,286","228,486","13,686","91,538","14,727","90,381","277,240","32,132","12,077","111,941","112,122","38,876","103,957","9,818","18,146"
no_300399_o65_private,"47,395","3,707","99,063","36,115","369,825","64,396","42,113","11,921","2,124","350,636","104,105","13,257","24,316","130,729","75,378","35,844","32,346","40,334","48,875","19,429","37,392","57,479","93,550","48,658","27,173","77,125","14,282","21,894","39,739","14,745","78,933","21,800","185,304","114,719","5,162","144,710","38,307","52,033","143,476","12,339","55,567","9,226","84,404","274,073","27,136","7,066","72,619","74,198","18,957","74,390","7,382","29,364"
total_o400_u19_private,"286,990","71,836","497,492","155,877","3,185,031","546,505","336,544","81,029","69,112","1,315,698","783,030","116,153","132,776","1,048,096","453,764","239,186","213,177","259,064","264,420","81,113","631,327","689,126","664,009","556,889","141,041","409,645","71,835","159,071","183,231","121,296","983,991","90,839","1,499,958","711,548","80,792","810,270","225,328","308,224","923,527","84,989","312,915","59,553","429,680","2,270,212","310,421","52,504","812,352","699,202","84,725","444,352","34,941","35,989"
with_o400_u19_private,"256,519","63,548","440,203","139,462","2,876,714","498,295","311,292","75,356","65,400","1,153,619","696,992","103,289","118,650","971,500","411,753","222,722","200,231","234,493","229,948","74,337","571,771","639,663","618,486","521,501","122,856","369,647","62,011","147,094","162,475","111,242","908,809","75,384","1,344,042","644,474","75,410","749,089","194,725","280,130","841,781","76,536","278,711","56,259","389,810","2,008,802","292,172","46,132","749,544","631,360","76,410","416,799","30,599","33,570"
no_o400_u19_private,"30,471","8,288","57,289","16,415","308,317","48,210","25,252","5,673","3,712","162,079","86,038","12,864","14,126","76,596","42,011","16,464","12,946","24,571","34,472","6,776","59,556","49,463","45,523","35,388","18,185","39,998","9,824","11,977","20,756","10,054","75,182","15,455","155,916","67,074","5,382","61,181","30,603","28,094","81,746","8,453","34,204","3,294","39,870","261,410","18,249","6,372","62,808","67,842","8,315","27,553","4,342","2,419"
total_o400_1964_private,"1,057,473","210,158","1,791,805","571,358","11,135,862","1,912,828","1,172,026","272,816","276,899","5,239,025","2,755,061","384,190","435,994","3,515,327","1,574,840","757,045","671,260","929,439","885,658","352,375","2,020,245","2,442,648","2,431,976","1,715,602","512,808","1,439,190","257,519","472,132","773,465","479,788","3,123,167","395,560","5,639,138","2,604,304","205,936","2,825,376","771,322","1,141,644","3,395,436","328,599","1,182,606","204,415","1,651,182","7,387,202","895,110","185,322","2,599,424","2,474,032","326,901","1,576,814","135,992","209,510"
with_o400_1964_private,"985,175","184,946","1,598,504","516,079","9,963,273","1,747,792","1,066,423","252,343","262,209","4,673,566","2,496,554","351,203","391,147","3,258,701","1,447,496","714,075","633,303","850,735","793,946","322,182","1,859,587","2,260,842","2,260,020","1,607,329","471,495","1,343,469","227,964","448,115","683,251","450,084","2,877,095","337,235","5,030,778","2,397,463","195,110","2,619,160","688,769","1,043,960","3,158,233","300,335","1,089,716","193,748","1,521,094","6,573,384","834,719","169,387","2,406,895","2,267,531","300,623","1,487,974","121,994","181,652"
no_o400_1964_private,"72,298","25,212","193,301","55,279","1,172,589","165,036","105,603","20,473","14,690","565,459","258,507","32,987","44,847","256,626","127,344","42,970","37,957","78,704","91,712","30,193","160,658","181,806","171,956","108,273","41,313","95,721","29,555","24,017","90,214","29,704","246,072","58,325","608,360","206,841","10,826","206,216","82,553","97,684","237,203","28,264","92,890","10,667","130,088","813,818","60,391","15,935","192,529","206,501","26,278","88,840","13,998","27,858"
total_o400_o65_private,"313,726","50,613","599,732","168,136","2,912,561","445,433","341,459","102,712","44,362","1,908,742","654,473","151,761","131,290","910,520","404,512","217,659","198,440","241,614","250,152","123,701","556,508","616,989","707,463","434,012","141,017","401,036","89,174","136,869","232,259","138,265","822,097","161,006","1,535,807","712,245","55,693","772,787","235,903","346,783","985,700","92,454","392,771","68,883","441,879","1,652,783","198,607","60,814","722,208","627,897","106,442","427,529","43,847","57,348"
with_o400_o65_private,"221,718","38,800","361,810","109,466","1,748,136","255,726","210,075","72,634","34,392","1,117,117","420,554","121,848","83,163","584,913","255,519","146,692","130,600","163,058","168,628","75,002","432,914","442,268","511,162","310,249","95,255","242,108","59,897","88,247","135,544","95,505","550,144","110,152","1,041,236","464,674","42,893","495,594","162,416","217,896","664,132","60,169","264,845","44,493","290,018","1,011,062","118,435","42,727","525,920","410,837","76,691","264,707","30,103","29,155"
no_o400_o65_private,"92,008","11,813","237,922","58,670","1,164,425","189,707","131,384","30,078","9,970","791,625","233,919","29,913","48,127","325,607","148,993","70,967","67,840","78,556","81,524","48,699","123,594","174,721","196,301","123,763","45,762","158,928","29,277","48,622","96,715","42,760","271,953","50,854","494,571","247,571","12,800","277,193","73,487","128,887","321,568","32,285","127,926","24,390","151,861","641,721","80,172","18,087","196,288","217,060","29,751","162,822","13,744","28,193"
total_u050_u19_public,"118,574","11,100","129,901","76,135","587,773","69,549","53,996","13,893","14,295","325,740","235,361","16,623","20,446","205,820","120,094","41,186","41,701","115,520","140,224","16,271","85,173","85,132","189,637","63,796","80,397","91,363","14,858","25,352","54,544","11,846","127,536","61,835","363,999","204,956","7,946","229,502","95,492","54,189","219,402","15,367","110,990","14,865","149,486","665,768","44,031","4,677","127,673","101,038","33,877","76,986","8,703","162,114"
with_u050_u19_public,"101,123","9,732","97,632","65,646","476,933","56,699","44,200","10,333","13,720","249,646","182,732","12,086","14,764","172,220","95,392","31,182","32,456","101,694","123,530","13,509","64,850","72,418","160,647","49,323","66,499","75,235","10,826","20,313","41,010","9,781","99,927","53,187","317,709","167,372","5,440","186,994","80,040","43,348","180,716","12,080","92,633","12,372","119,232","482,695","23,916","4,157","97,378","78,810","30,610","61,289","6,974","152,517"
no_u050_u19_public,"17,451","1,368","32,269","10,489","110,840","12,850","9,796","3,560",575,"76,094","52,629","4,537","5,682","33,600","24,702","10,004","9,245","13,826","16,694","2,762","20,323","12,714","28,990","14,473","13,898","16,128","4,032","5,039","13,534","2,065","27,609","8,648","46,290","37,584","2,506","42,508","15,452","10,841","38,686","3,287","18,357","2,493","30,254","183,073","20,115",520,"30,295","22,228","3,267","15,697","1,729","9,597"
total_u050_1964_public,"204,512","21,800","265,159","124,212","1,369,085","174,111","106,978","27,701","32,149","749,480","402,768","40,920","50,395","427,513","236,749","90,903","90,457","200,296","219,629","39,430","195,876","204,563","378,114","139,467","124,595","187,570","39,446","53,573","113,926","30,126","232,917","99,517","766,741","371,469","21,197","416,827","171,697","166,587","425,059","32,030","203,718","25,979","256,938","1,065,346","89,776","20,371","261,862","253,350","79,322","174,109","18,153","344,985"
with_u050_1964_public,"73,439","12,140","133,716","70,555","762,043","83,458","63,757","14,364","22,190","257,472","135,333","22,649","21,872","226,506","131,627","45,464","31,322","137,621","144,111","24,441","101,178","121,944","233,853","78,364","47,084","90,794","20,529","23,632","54,515","15,664","119,980","66,265","494,016","158,368","10,600","245,115","86,618","100,737","245,184","19,914","84,046","11,211","107,071","266,083","28,552","12,865","133,780","143,682","51,845","89,432","5,151","293,250"
no_u050_1964_public,"131,073","9,660","131,443","53,657","607,042","90,653","43,221","13,337","9,959","492,008","267,435","18,271","28,523","201,007","105,122","45,439","59,135","62,675","75,518","14,989","94,698","82,619","144,261","61,103","77,511","96,776","18,917","29,941","59,411","14,462","112,937","33,252","272,725","213,101","10,597","171,712","85,079","65,850","179,875","12,116","119,672","14,768","149,867","799,263","61,224","7,506","128,082","109,668","27,477","84,677","13,002","51,735"
total_u050_o65_public,"40,102","2,786","69,742","21,202","290,210","34,635","26,909","7,364","6,519","240,220","79,611","13,443","12,714","97,190","47,075","18,065","19,671","34,263","36,670","9,886","47,099","52,886","75,498","37,653","26,602","47,408","7,653","13,714","27,722","9,832","65,809","20,303","202,344","76,236","4,555","84,842","27,336","35,836","101,176","8,297","40,878","4,201","52,226","196,618","14,246","6,165","60,047","51,601","12,984","45,355","3,396","114,588"
with_u050_o65_public,"37,163","2,571","61,051","20,297","260,557","32,759","25,630","6,920","5,971","211,482","72,881","11,971","12,281","89,924","44,934","17,009","18,274","31,942","34,427","9,550","43,479","49,181","71,460","36,072","25,345","44,309","7,287","12,652","24,390","9,582","61,108","19,194","189,631","70,858","4,219","80,652","25,119","34,340","93,819","7,868","39,197","3,967","48,610","171,721","13,321","5,913","56,552","47,696","12,440","42,531","3,094","110,214"
no_u050_o65_public,"2,939",215,"8,691",905,"29,653","1,876","1,279",444,548,"28,738","6,730","1,472",433,"7,266","2,141","1,056","1,397","2,321","2,243",336,"3,620","3,705","4,038","1,581","1,257","3,099",366,"1,062","3,332",250,"4,701","1,109","12,713","5,378",336,"4,190","2,217","1,496","7,357",429,"1,681",234,"3,616","24,897",925,252,"3,495","3,905",544,"2,824",302,"4,374"
total_050099_u19_public,"127,143","10,652","125,307","73,304","719,061","64,725","46,731","18,875","7,387","390,532","246,087","19,323","34,493","202,538","131,057","59,687","51,824","101,634","136,575","14,687","66,216","90,166","194,299","74,572","82,228","112,012","15,244","30,254","58,925","8,291","138,086","56,722","388,073","215,143","8,246","240,770","112,404","62,498","200,129","12,794","114,616","18,370","163,405","774,999","50,339","6,035","114,581","106,802","38,436","86,674","10,882","126,480"
with_050099_u19_public,"106,639","8,680","93,307","62,497","618,263","51,955","40,912","15,757","7,387","296,163","192,892","14,594","27,141","177,774","109,547","50,747","41,885","85,857","122,448","12,293","55,637","75,844","162,984","63,969","67,384","90,860","12,476","22,025","48,218","6,709","112,612","49,380","342,254","174,412","6,150","207,731","92,508","53,098","164,500","9,328","93,378","12,883","130,902","568,750","26,176","5,698","94,192","88,234","35,026","71,591","7,290","105,521"
no_050099_u19_public,"20,504","1,972","32,000","10,807","100,798","12,770","5,819","3,118",0,"94,369","53,195","4,729","7,352","24,764","21,510","8,940","9,939","15,777","14,127","2,394","10,579","14,322","31,315","10,603","14,844","21,152","2,768","8,229","10,707","1,582","25,474","7,342","45,819","40,731","2,096","33,039","19,896","9,400","35,629","3,466","21,238","5,487","32,503","206,249","24,163",337,"20,389","18,568","3,410","15,083","3,592","20,959"
total_050099_1964_public,"214,895","23,377","222,726","128,577","1,168,565","140,627","91,039","28,448","21,892","681,593","374,958","34,537","56,681","362,581","221,316","106,062","88,978","202,257","232,439","40,924","127,203","191,169","364,703","148,618","145,944","210,074","38,521","58,959","91,910","26,322","224,650","92,811","678,671","351,606","22,675","412,379","169,017","136,490","394,840","30,011","184,125","31,187","258,993","1,075,139","86,350","15,867","219,125","204,915","89,622","168,165","18,419","322,572"
with_050099_1964_public,"102,210","14,758","116,943","80,402","717,394","74,864","56,193","16,758","14,540","262,506","138,715","20,282","31,056","219,979","133,421","61,763","33,631","142,778","162,719","28,455","69,805","133,201","252,485","88,435","70,569","111,683","20,888","28,168","51,526","16,535","127,613","59,035","491,058","161,636","8,615","275,477","88,653","91,038","258,082","20,530","88,859","13,403","126,081","309,628","28,051","12,225","126,537","115,827","68,285","96,601","5,123","236,154"
no_050099_1964_public,"112,685","8,619","105,783","48,175","451,171","65,763","34,846","11,690","7,352","419,087","236,243","14,255","25,625","142,602","87,895","44,299","55,347","59,479","69,720","12,469","57,398","57,968","112,218","60,183","75,375","98,391","17,633","30,791","40,384","9,787","97,037","33,776","187,613","189,970","14,060","136,902","80,364","45,452","136,758","9,481","95,266","17,784","132,912","765,511","58,299","3,642","92,588","89,088","21,337","71,564","13,296","86,418"
total_050099_o65_public,"67,646","4,450","91,635","43,194","451,673","50,921","36,289","9,653","8,826","340,551","121,472","16,648","18,906","129,635","65,110","35,250","26,640","66,265","73,409","19,151","51,938","82,709","124,370","56,307","52,318","71,715","13,929","20,226","29,751","11,518","97,490","36,792","303,024","128,776","9,222","143,232","49,790","50,831","160,353","15,868","71,004","10,082","96,762","306,589","19,424","7,298","79,391","74,585","31,465","65,470","4,756","186,635"
with_050099_o65_public,"66,839","4,386","89,990","42,993","441,429","49,879","35,803","9,282","8,681","331,470","118,652","16,454","18,349","126,308","64,129","34,661","26,341","65,090","72,276","18,868","50,896","81,422","122,033","55,824","51,336","70,298","13,887","19,646","29,130","11,446","94,695","35,595","296,934","125,558","9,205","140,534","48,899","50,174","158,235","15,798","70,077","9,908","94,969","293,925","19,294","7,276","77,393","72,829","31,388","64,612","4,651","183,601"
no_050099_o65_public,807,64,"1,645",201,"10,244","1,042",486,371,145,"9,081","2,820",194,557,"3,327",981,589,299,"1,175","1,133",283,"1,042","1,287","2,337",483,982,"1,417",42,580,621,72,"2,795","1,197","6,090","3,218",17,"2,698",891,657,"2,118",70,927,174,"1,793","12,664",130,22,"1,998","1,756",77,858,105,"3,034"
total_100137_u19_public,"101,363","12,165","141,807","74,724","650,434","70,457","47,965","11,867","6,900","374,871","193,978","16,916","38,071","177,866","123,315","46,708","55,273","95,413","93,749","18,415","80,774","75,435","153,475","85,323","79,663","119,271","18,977","35,749","69,534","12,941","124,379","45,524","289,965","204,000","7,711","200,697","98,074","66,756","206,457","13,635","96,246","17,739","124,120","683,003","50,706","4,673","114,512","102,069","30,238","93,989","8,839","59,435"
with_100137_u19_public,"80,226","8,285","103,698","55,064","533,876","54,510","37,985","10,737","6,260","274,181","144,621","10,963","28,691","144,448","93,647","36,103","35,375","80,658","78,534","14,476","63,104","59,895","118,790","65,015","60,803","79,338","14,280","25,706","49,357","11,299","99,618","39,546","233,178","158,855","5,528","142,050","77,985","55,133","158,043","12,123","70,051","11,896","87,136","475,126","24,901","4,377","82,379","77,999","24,174","69,951","6,675","38,244"
no_100137_u19_public,"21,137","3,880","38,109","19,660","116,558","15,947","9,980","1,130",640,"100,690","49,357","5,953","9,380","33,418","29,668","10,605","19,898","14,755","15,215","3,939","17,670","15,540","34,685","20,308","18,860","39,933","4,697","10,043","20,177","1,642","24,761","5,978","56,787","45,145","2,183","58,647","20,089","11,623","48,414","1,512","26,195","5,843","36,984","207,877","25,805",296,"32,133","24,070","6,064","24,038","2,164","21,191"
total_100137_1964_public,"174,165","17,938","202,857","115,585","1,073,379","125,336","84,753","20,158","11,690","636,587","332,382","30,917","56,282","297,443","194,939","87,570","83,046","163,245","161,100","37,835","126,172","137,873","276,979","125,686","123,237","193,636","31,461","50,976","93,519","23,164","190,992","82,012","542,044","320,036","16,045","324,550","149,644","115,850","330,273","23,250","168,830","24,859","208,063","989,910","75,729","14,068","186,820","162,765","60,500","137,618","15,767","235,915"
with_100137_1964_public,"58,592","10,219","95,893","55,225","619,392","62,923","49,709","12,303","7,531","209,708","95,827","15,409","26,019","153,983","107,589","45,564","24,692","101,901","90,898","22,241","61,682","92,243","162,048","72,654","42,155","77,646","14,852","19,846","38,745","11,850","96,069","48,859","343,556","117,469","6,329","183,146","64,475","66,682","188,685","14,625","63,953","8,034","82,105","225,272","22,381","10,523","92,253","83,630","34,520","68,524","4,553","140,188"
no_100137_1964_public,"115,573","7,719","106,964","60,360","453,987","62,413","35,044","7,855","4,159","426,879","236,555","15,508","30,263","143,460","87,350","42,006","58,354","61,344","70,202","15,594","64,490","45,630","114,931","53,032","81,082","115,990","16,609","31,130","54,774","11,314","94,923","33,153","198,488","202,567","9,716","141,404","85,169","49,168","141,588","8,625","104,877","16,825","125,958","764,638","53,348","3,545","94,567","79,135","25,980","69,094","11,214","95,727"
total_100137_o65_public,"69,762","6,654","80,456","45,926","384,695","48,048","30,221","9,595","6,899","299,261","119,949","13,910","19,923","125,309","76,083","32,408","30,453","68,220","60,320","19,725","45,751","66,654","112,414","49,678","49,237","69,215","14,445","19,083","34,208","14,308","75,096","31,957","222,607","127,643","6,921","130,057","47,613","52,292","156,595","11,778","65,125","11,345","82,295","273,333","17,160","8,985","78,587","65,303","27,707","68,684","6,119","119,762"
with_100137_o65_public,"68,685","6,269","78,286","45,675","375,986","47,852","29,900","9,595","6,719","288,779","115,148","13,580","19,771","121,489","75,034","31,971","29,933","67,712","59,115","19,565","44,434","65,304","110,979","48,993","47,946","68,610","14,275","18,935","33,048","14,138","72,372","30,990","218,083","125,414","6,758","127,827","47,016","51,399","153,145","11,109","64,277","10,944","81,470","262,399","16,721","8,740","76,846","64,256","27,613","67,684","6,119","116,224"
no_100137_o65_public,"1,077",385,"2,170",251,"8,709",196,321,0,180,"10,482","4,801",330,152,"3,820","1,049",437,520,508,"1,205",160,"1,317","1,350","1,435",685,"1,291",605,170,148,"1,160",170,"2,724",967,"4,524","2,229",163,"2,230",597,893,"3,450",669,848,401,825,"10,934",439,245,"1,741","1,047",94,"1,000",0,"3,538"
total_138149_u19_public,"26,414","5,225","44,255","24,172","234,261","25,695","13,879","4,746",419,"135,970","81,884","4,282","12,909","54,364","41,091","18,757","16,291","25,141","27,702","6,013","28,389","27,041","59,765","23,722","15,835","38,264","5,952","11,610","23,836","3,773","41,629","15,192","100,556","55,303","2,448","71,039","28,120","15,483","64,394","6,375","36,414","6,528","40,740","209,872","18,975","3,050","45,748","36,508","7,900","36,111","4,576","15,242"
with_138149_u19_public,"19,970","4,260","30,178","16,480","174,700","20,204","11,258","2,805",419,"88,178","60,562","3,081","9,283","39,027","28,377","14,737","9,219","18,862","22,421","4,179","18,180","22,266","42,580","18,011","10,428","27,530","4,162","9,239","13,610","1,879","34,470","12,691","74,203","39,683","1,547","48,648","20,528","11,365","45,696","3,414","26,054","3,804","29,414","122,873","8,434","2,355","29,803","28,851","5,782","26,101","3,452","7,334"
no_138149_u19_public,"6,444",965,"14,077","7,692","59,561","5,491","2,621","1,941",0,"47,792","21,322","1,201","3,626","15,337","12,714","4,020","7,072","6,279","5,281","1,834","10,209","4,775","17,185","5,711","5,407","10,734","1,790","2,371","10,226","1,894","7,159","2,501","26,353","15,620",901,"22,391","7,592","4,118","18,698","2,961","10,360","2,724","11,326","86,999","10,541",695,"15,945","7,657","2,118","10,010","1,124","7,908"
total_138149_1964_public,"49,983","5,639","65,338","35,632","343,961","39,232","23,160","8,123","1,958","221,598","106,954","8,333","19,450","88,386","66,363","24,956","26,591","48,887","47,813","11,523","38,560","41,968","91,636","33,341","36,192","56,774","10,984","14,593","30,131","5,968","59,818","27,662","162,840","97,797","5,293","104,680","45,194","34,440","93,980","12,823","54,944","7,676","71,232","302,203","26,707","4,138","71,772","52,333","15,967","44,142","5,014","67,241"
with_138149_1964_public,"12,443","3,072","28,047","14,065","183,095","18,551","13,534","2,571","1,337","56,880","27,519","3,940","7,162","38,575","28,957","12,482","5,835","25,777","24,167","5,310","17,176","27,202","48,853","17,740","11,983","22,836","5,635","6,702","11,842","2,375","26,891","15,503","96,328","33,866","1,461","52,737","16,726","15,240","46,845","8,256","17,381","2,388","25,791","61,554","6,779","2,611","30,791","24,656","8,017","21,285",720,"31,401"
