variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
with_050099_1964_private,"77,888","6,190","68,694","35,000","330,430","50,627","25,514","6,836","6,547","269,074","140,177","15,220","20,578","104,503","66,746","39,145","39,044","49,236","53,131","9,788","41,485","57,904","97,991","51,677","54,256","70,400","13,724","23,036","25,829","8,348","59,693","22,660","184,180","126,757","12,262","106,519","50,179","37,165","116,612","9,022","72,925","10,293","87,053","375,960","45,247","3,682","73,965","69,161","18,463","57,092","8,548","64,462"
no_050099_1964_private,"137,007","17,187","154,032","93,577","838,135","90,000","65,525","21,612","15,345","412,519","234,781","19,317","36,103","258,078","154,570","66,917","49,934","153,021","179,308","31,136","85,718","133,265","266,712","96,941","91,688","139,674","24,797","35,923","66,081","17,974","164,957","70,151","494,491","224,849","10,413","305,860","118,838","99,325","278,228","20,989","111,200","20,894","171,940","699,179","41,103","12,185","145,160","135,754","71,159","111,073","9,871","258,110"
total_050099_o65_private,"67,646","4,450","91,635","43,194","451,673","50,921","36,289","9,653","8,826","340,551","121,472","16,648","18,906","129,635","65,110","35,250","26,640","66,265","73,409","19,151","51,938","82,709","124,370","56,307","52,318","71,715","13,929","20,226","29,751","11,518","97,490","36,792","303,024","128,776","9,222","143,232","49,790","50,831","160,353","15,868","71,004","10,082","96,762","306,589","19,424","7,298","79,391","74,585","31,465","65,470","4,756","186,635"
with_050099_o65_private,"23,926","1,875","28,044","11,908","110,240","16,143","10,084","3,696","2,282","91,069","42,916","6,220","7,009","42,219","23,631","13,667","11,686","20,287","22,947","6,542","22,697","28,208","47,669","23,990","14,238","23,196","4,764","7,230","9,826","3,671","32,452","9,939","78,855","47,003","5,209","44,348","18,475","15,068","60,932","4,969","24,254","4,273","34,168","81,894","6,566","2,446","29,101","26,399","10,256","24,820","2,209","25,029"
no_050099_o65_private,"43,720","2,575","63,591","31,286","341,433","34,778","26,205","5,957","6,544","249,482","78,556","10,428","11,897","87,416","41,479","21,583","14,954","45,978","50,462","12,609","29,241","54,501","76,701","32,317","38,080","48,519","9,165","12,996","19,925","7,847","65,038","26,853","224,169","81,773","4,013","98,884","31,315","35,763","99,421","10,899","46,750","5,809","62,594","224,695","12,858","4,852","50,290","48,186","21,209","40,650","2,547","161,606"
total_100137_u19_private,"101,363","12,165","141,807","74,724","650,434","70,457","47,965","11,867","6,900","374,871","193,978","16,916","38,071","177,866","123,315","46,708","55,273","95,413","93,749","18,415","80,774","75,435","153,475","85,323","79,663","119,271","18,977","35,749","69,534","12,941","124,379","45,524","289,965","204,000","7,711","200,697","98,074","66,756","206,457","13,635","96,246","17,739","124,120","683,003","50,706","4,673","114,512","102,069","30,238","93,989","8,839","59,435"
with_100137_u19_private,"23,498","3,208","38,911","11,857","132,162","15,829","10,448","3,400","1,026","85,341","43,934","6,737","12,797","44,916","30,979","13,308","18,476","18,127","13,583","5,392","16,724","19,930","45,040","21,158","13,425","35,626","2,794","13,830","21,381","3,337","25,320","6,134","77,889","43,241","3,367","57,341","18,664","15,747","50,592","3,476","22,684","4,193","36,728","147,877","23,024",473,"34,950","25,528","8,376","25,485","2,947","21,621"
no_100137_u19_private,"77,865","8,957","102,896","62,867","518,272","54,628","37,517","8,467","5,874","289,530","150,044","10,179","25,274","132,950","92,336","33,400","36,797","77,286","80,166","13,023","64,050","55,505","108,435","64,165","66,238","83,645","16,183","21,919","48,153","9,604","99,059","39,390","212,076","160,759","4,344","143,356","79,410","51,009","155,865","10,159","73,562","13,546","87,392","535,126","27,682","4,200","79,562","76,541","21,862","68,504","5,892","37,814"
total_100137_1964_private,"174,165","17,938","202,857","115,585","1,073,379","125,336","84,753","20,158","11,690","636,587","332,382","30,917","56,282","297,443","194,939","87,570","83,046","163,245","161,100","37,835","126,172","137,873","276,979","125,686","123,237","193,636","31,461","50,976","93,519","23,164","190,992","82,012","542,044","320,036","16,045","324,550","149,644","115,850","330,273","23,250","168,830","24,859","208,063","989,910","75,729","14,068","186,820","162,765","60,500","137,618","15,767","235,915"
with_100137_1964_private,"88,829","4,834","72,997","40,919","339,681","47,393","23,191","5,596","3,875","294,617","156,522","16,174","25,896","111,079","71,081","33,637","42,257","53,745","48,190","13,552","45,481","44,300","101,782","47,785","52,565","86,016","10,983","25,422","36,419","7,965","57,063","22,571","177,287","133,723","9,267","109,756","56,742","42,613","127,282","8,567","69,457","11,553","93,395","403,925","42,659","3,077","76,285","61,438","20,777","56,997","7,731","74,518"
no_100137_1964_private,"85,336","13,104","129,860","74,666","733,698","77,943","61,562","14,562","7,815","341,970","175,860","14,743","30,386","186,364","123,858","53,933","40,789","109,500","112,910","24,283","80,691","93,573","175,197","77,901","70,672","107,620","20,478","25,554","57,100","15,199","133,929","59,441","364,757","186,313","6,778","214,794","92,902","73,237","202,991","14,683","99,373","13,306","114,668","585,985","33,070","10,991","110,535","101,327","39,723","80,621","8,036","161,397"
