variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
total_o75_female_private,"208,861","18,776","333,564","123,172","1,476,632","197,083","160,696","47,351","22,223","1,202,756","376,522","75,967","68,745","505,381","257,770","130,612","111,584","173,001","173,786","67,905","246,886","298,686","421,459","217,315","113,524","251,777","45,820","73,327","117,663","60,305","392,523","95,571","871,641","429,606","28,209","489,662","150,190","181,135","597,050","48,128","228,438","33,425","275,769","903,781","86,429","30,822","340,122","291,229","82,249","241,468","21,502"
with_o75_female_private,"122,113","12,455","174,539","63,255","696,560","107,204","85,145","30,399","14,866","562,253","203,303","52,852","39,919","291,267","146,984","83,560","73,896","98,423","92,406","38,258","166,550","183,522","289,151","154,637","59,681","132,402","29,217","43,953","53,198","38,392","220,974","52,994","462,666","246,015","20,890","279,699","87,820","102,419","363,289","27,481","133,500","20,551","148,412","453,741","48,280","19,110","217,007","171,084","49,643","142,511","13,152"
no_o75_female_private,"86,748","6,321","159,025","59,917","780,072","89,879","75,551","16,952","7,357","640,503","173,219","23,115","28,826","214,114","110,786","47,052","37,688","74,578","81,380","29,647","80,336","115,164","132,308","62,678","53,843","119,375","16,603","29,374","64,465","21,913","171,549","42,577","408,975","183,591","7,319","209,963","62,370","78,716","233,761","20,647","94,938","12,874","127,357","450,040","38,149","11,712","123,115","120,145","32,606","98,957","8,350"
total_u6_male_public,"176,722","29,639","241,846","108,462","1,286,384","191,008","112,528","32,173","24,232","699,028","383,463","45,573","71,152","408,833","250,193","112,518","102,284","165,298","173,765","35,750","213,584","212,930","321,735","197,706","101,050","217,909","34,102","75,296","105,042","37,658","320,351","63,687","634,825","370,074","28,087","402,597","147,192","124,607","412,504","35,561","170,469","35,724","257,414","1,166,218","143,128","17,018","292,510","259,096","53,260","193,214","17,529"
with_u6_male_public,"84,951","12,170","94,193","56,868","563,031","70,625","42,951","13,017","8,577","322,949","178,016","15,969","28,252","153,303","105,642","47,679","35,463","88,357","102,311","13,961","75,520","74,226","137,868","69,543","52,947","91,717","14,514","24,780","49,315","11,573","117,549","40,603","298,660","166,966","6,690","169,912","77,420","54,023","174,030","11,930","82,037","11,017","123,450","487,591","27,839","6,259","95,638","107,369","26,499","73,641","6,519"
no_u6_male_public,"91,771","17,469","147,653","51,594","723,353","120,383","69,577","19,156","15,655","376,079","205,447","29,604","42,900","255,530","144,551","64,839","66,821","76,941","71,454","21,789","138,064","138,704","183,867","128,163","48,103","126,192","19,588","50,516","55,727","26,085","202,802","23,084","336,165","203,108","21,397","232,685","69,772","70,584","238,474","23,631","88,432","24,707","133,964","678,627","115,289","10,759","196,872","151,727","26,761","119,573","11,010"
total_618_male_public,"428,525","67,498","618,592","272,942","3,301,152","468,090","282,674","82,819","43,091","1,688,286","989,319","113,854","185,329","1,052,282","618,618","278,350","272,117","381,860","403,635","99,015","516,279","521,880","821,905","496,580","268,040","528,035","92,640","183,111","266,015","100,259","767,427","176,300","1,515,040","906,914","67,950","998,284","376,547","319,538","1,021,049","75,909","442,924","85,312","588,760","2,896,238","364,400","46,754","731,612","636,305","139,281","486,932","51,089"
with_618_male_public,"185,129","26,128","229,751","127,594","1,445,562","154,458","101,135","31,717","19,815","640,738","398,184","39,641","59,005","377,517","218,758","100,160","82,901","171,241","212,554","35,402","170,190","181,336","311,950","155,686","129,049","185,900","34,575","54,850","98,867","28,835","250,035","106,786","669,112","370,832","13,265","361,668","170,112","129,217","398,537","29,534","193,331","25,150","239,710","996,692","65,094","19,198","228,569","237,395","62,932","154,514","17,144"
no_618_male_public,"243,396","41,370","388,841","145,348","1,855,590","313,632","181,539","51,102","23,276","1,047,548","591,135","74,213","126,324","674,765","399,860","178,190","189,216","210,619","191,081","63,613","346,089","340,544","509,955","340,894","138,991","342,135","58,065","128,261","167,148","71,424","517,392","69,514","845,928","536,082","54,685","636,616","206,435","190,321","622,512","46,375","249,593","60,162","349,050","1,899,546","299,306","27,556","503,043","398,910","76,349","332,418","33,945"
total_1925_male_public,"232,787","27,293","348,495","138,570","1,752,920","264,241","163,223","40,739","32,012","887,181","496,895","46,708","89,565","556,877","328,101","161,759","146,618","203,087","189,204","56,037","251,912","330,355","456,164","254,253","136,152","275,075","51,191","96,903","127,627","58,683","382,893","95,170","850,680","477,035","39,794","516,409","194,089","180,389","570,825","50,378","221,632","42,000","315,984","1,449,605","196,704","31,480","362,976","325,409","80,109","271,790","24,716"
with_1925_male_public,"26,705","4,845","60,493","24,646","492,412","50,236","39,463","8,566","7,944","115,186","52,937","10,683","13,032","97,746","58,633","26,211","13,576","45,273","54,169","12,857","52,118","70,901","99,249","43,337","19,689","33,288","8,969","11,422","27,075","5,159","69,006","32,006","229,664","84,029","2,966","92,977","33,691","42,095","101,641","9,011","32,077","3,671","44,949","140,086","13,711","6,427","62,083","67,560","16,920","41,893","1,297"
no_1925_male_public,"206,082","22,448","288,002","113,924","1,260,508","214,005","123,760","32,173","24,068","771,995","443,958","36,025","76,533","459,131","269,468","135,548","133,042","157,814","135,035","43,180","199,794","259,454","356,915","210,916","116,463","241,787","42,222","85,481","100,552","53,524","313,887","63,164","621,016","393,006","36,828","423,432","160,398","138,294","469,184","41,367","189,555","38,329","271,035","1,309,519","182,993","25,053","300,893","257,849","63,189","229,897","23,419"
total_2634_male_public,"268,163","46,511","457,273","171,475","2,539,193","419,094","202,578","54,644","59,103","1,226,743","640,094","74,283","115,313","749,340","394,536","179,923","162,926","259,047","247,173","74,390","337,227","434,347","594,509","332,588","137,976","354,684","65,098","113,493","201,807","81,372","528,345","120,734","1,208,679","605,177","52,682","685,312","230,326","268,445","736,793","68,303","281,527","50,317","423,370","1,906,911","230,508","34,287","482,664","526,974","89,285","335,465","33,365"
with_2634_male_public,"30,621","12,068","80,046","34,008","569,806","65,805","38,377","9,864","9,555","146,597","69,255","16,455","22,802","106,513","62,495","29,349","14,851","65,091","63,838","16,011","57,109","90,393","124,120","54,818","16,669","39,607","13,684","12,381","40,371","9,872","81,145","36,018","290,210","75,064","5,419","129,222","37,682","59,377","126,306","15,001","33,143","5,528","46,271","151,455","22,161","8,169","78,705","87,935","22,928","47,051","3,106"
no_2634_male_public,"237,542","34,443","377,227","137,467","1,969,387","353,289","164,201","44,780","49,548","1,080,146","570,839","57,828","92,511","642,827","332,041","150,574","148,075","193,956","183,335","58,379","280,118","343,954","470,389","277,770","121,307","315,077","51,414","101,112","161,436","71,500","447,200","84,716","918,469","530,113","47,263","556,090","192,644","209,068","610,487","53,302","248,384","44,789","377,099","1,755,456","208,347","26,118","403,959","439,039","66,357","288,414","30,259"
total_3544_male_public,"305,391","52,779","459,200","191,081","2,726,704","439,987","226,719","60,797","54,496","1,405,416","684,732","88,531","126,853","822,741","427,783","202,754","186,201","272,501","287,804","85,629","400,084","455,585","600,912","391,949","177,269","389,003","75,485","128,389","220,879","91,221","613,563","133,778","1,255,776","655,571","52,942","718,735","254,453","299,017","812,315","71,027","326,159","58,793","446,714","2,123,764","235,508","40,352","563,020","568,766","102,229","369,911","41,244"
with_3544_male_public,"39,645","12,696","84,660","37,835","571,075","67,751","37,809","10,869","7,628","187,623","75,416","18,744","21,126","121,678","73,708","33,395","17,133","69,661","65,604","19,581","65,393","100,592","126,101","65,104","27,266","55,096","17,916","16,945","39,547","12,395","77,034","38,238","299,783","88,234","6,037","135,630","47,450","60,533","143,426","13,248","47,966","7,859","58,010","203,190","23,597","8,535","89,020","92,745","25,497","55,386","3,620"
no_3544_male_public,"265,746","40,083","374,540","153,246","2,155,629","372,236","188,910","49,928","46,868","1,217,793","609,316","69,787","105,727","701,063","354,075","169,359","169,068","202,840","222,200","66,048","334,691","354,993","474,811","326,845","150,003","333,907","57,569","111,444","181,332","78,826","536,529","95,540","955,993","567,337","46,905","583,105","207,003","238,484","668,889","57,779","278,193","50,934","388,704","1,920,574","211,911","31,817","474,000","476,021","76,732","314,525","37,624"
total_4554_male_public,"292,027","42,240","419,093","171,974","2,391,052","360,055","213,886","53,993","35,196","1,337,727","663,766","80,693","113,381","764,907","404,705","182,956","162,610","270,522","249,907","81,682","368,796","409,952","583,910","338,146","166,931","349,511","63,240","110,815","199,287","83,274","583,990","117,083","1,149,506","646,866","40,057","688,505","224,991","261,821","748,223","60,128","301,874","49,974","418,320","1,826,466","193,135","38,749","509,745","470,218","107,939","345,751","32,188"
with_4554_male_public,"48,326","9,346","71,455","36,959","497,961","53,255","38,238","7,908","6,542","190,793","80,485","15,139","19,013","112,227","64,746","28,173","17,681","68,715","64,915","16,840","52,286","80,188","119,471","52,914","28,267","52,122","11,061","14,852","31,558","8,400","72,819","33,251","273,590","87,191","4,992","124,844","44,004","52,508","128,333","12,731","43,027","5,935","58,891","193,547","19,765","6,900","87,866","75,647","25,485","48,537","3,058"
no_4554_male_public,"243,701","32,894","347,638","135,015","1,893,091","306,800","175,648","46,085","28,654","1,146,934","583,281","65,554","94,368","652,680","339,959","154,783","144,929","201,807","184,992","64,842","316,510","329,764","464,439","285,232","138,664","297,389","52,179","95,963","167,729","74,874","511,171","83,832","875,916","559,675","35,065","563,661","180,987","209,313","619,890","47,397","258,847","44,039","359,429","1,632,919","173,370","31,849","421,879","394,571","82,454","297,214","29,130"
total_5564_male_public,"303,609","44,005","421,089","180,336","2,291,167","329,257","244,215","65,962","30,456","1,438,758","633,811","86,548","108,968","768,008","409,267","194,900","166,548","277,436","263,392","99,471","386,669","454,402","648,212","361,773","168,805","378,256","69,407","114,454","195,486","105,367","603,880","121,527","1,244,634","651,012","43,965","733,532","223,543","246,752","838,891","72,932","329,945","56,360","430,752","1,612,817","153,663","44,893","527,189","453,383","113,556","395,468","34,206"
with_5564_male_public,"83,354","13,495","101,433","58,540","587,584","67,153","50,954","17,760","10,182","281,790","130,378","21,826","20,554","157,604","93,540","42,887","28,386","90,535","83,724","24,294","76,718","103,483","169,703","69,326","48,220","87,908","16,142","20,398","42,912","18,806","99,752","41,025","364,394","133,300","8,079","168,753","59,019","61,697","187,012","17,547","74,695","9,477","97,629","270,020","21,014","12,223","115,236","96,158","40,680","74,203","7,329"
no_5564_male_public,"220,255","30,510","319,656","121,796","1,703,583","262,104","193,261","48,202","20,274","1,156,968","503,433","64,722","88,414","610,404","315,727","152,013","138,162","186,901","179,668","75,177","309,951","350,919","478,509","292,447","120,585","290,348","53,265","94,056","152,574","86,561","504,128","80,502","880,240","517,712","35,886","564,779","164,524","185,055","651,879","55,385","255,250","46,883","333,123","1,342,797","132,649","32,670","411,953","357,225","72,876","321,265","26,877"
total_6574_male_public,"253,428","33,512","374,026","146,319","1,702,484","274,897","183,270","61,214","22,047","1,225,435","466,502","79,088","100,705","598,741","325,254","167,223","145,894","224,076","220,517","89,802","282,510","347,902","544,378","293,615","141,849","310,607","68,138","95,467","157,406","84,409","441,160","116,015","959,421","518,884","38,358","610,150","185,926","230,961","703,532","57,165","283,607","51,129","343,145","1,176,445","122,249","41,576","403,100","379,204","105,737","331,001","35,006"
with_6574_male_public,"239,111","31,497","345,559","138,620","1,523,989","252,696","166,649","57,236","19,614","1,135,657","432,577","70,455","96,271","545,307","305,161","156,922","134,368","214,849","208,209","85,344","251,977","309,624","512,424","273,357","135,200","292,526","66,073","87,494","145,083","77,050","391,752","108,773","879,634","486,625","36,997","570,012","176,245","217,415","654,570","51,872","271,592","48,740","323,619","1,071,665","109,296","39,102","368,878","348,031","102,087","313,549","33,575"
no_6574_male_public,"14,317","2,015","28,467","7,699","178,495","22,201","16,621","3,978","2,433","89,778","33,925","8,633","4,434","53,434","20,093","10,301","11,526","9,227","12,308","4,458","30,533","38,278","31,954","20,258","6,649","18,081","2,065","7,973","12,323","7,359","49,408","7,242","79,787","32,259","1,361","40,138","9,681","13,546","48,962","5,293","12,015","2,389","19,526","104,780","12,953","2,474","34,222","31,173","3,650","17,452","1,431"
total_o75_male_public,"152,120","16,262","282,405","94,007","1,102,739","155,791","119,683","36,867","14,150","966,911","269,431","57,833","59,210","361,668","190,642","97,750","86,574","130,398","123,165","53,752","176,862","214,849","322,222","171,942","79,931","188,932","40,715","57,501","102,074","47,379","273,991","75,013","610,274","315,546","22,555","355,542","112,448","144,691","430,724","34,594","174,386","25,946","205,194","681,989","71,744","24,409","256,263","226,917","67,289","188,324","18,676"
with_o75_male_public,"150,792","16,182","278,920","93,399","1,078,035","154,475","117,634","36,436","13,671","949,378","264,062","57,168","58,716","353,733","188,982","97,137","84,768","128,725","121,376","53,101","170,728","210,776","318,479","170,932","79,099","187,096","40,303","56,885","100,334","46,638","267,908","74,313","602,602","312,774","22,136","352,650","111,371","143,562","424,878","34,454","173,126","25,714","203,628","667,094","71,156","24,224","250,861","223,188","66,710","186,003","18,625"
no_o75_male_public,"1,328",80,"3,485",608,"24,704","1,316","2,049",431,479,"17,533","5,369",665,494,"7,935","1,660",613,"1,806","1,673","1,789",651,"6,134","4,073","3,743","1,010",832,"1,836",412,616,"1,740",741,"6,083",700,"7,672","2,772",419,"2,892","1,077","1,129","5,846",140,"1,260",232,"1,566","14,895",588,185,"5,402","3,729",579,"2,321",51
total_u6_female_public,"175,216","24,590","231,330","106,566","1,221,474","177,144","105,376","32,647","21,925","657,760","368,469","46,173","64,586","395,603","234,934","108,641","102,323","152,366","159,687","36,662","206,594","198,223","316,230","191,688","98,134","202,228","32,794","68,620","103,870","36,907","305,355","61,979","608,233","348,298","28,609","387,218","144,232","117,683","393,175","30,937","174,460","31,138","242,115","1,123,204","137,249","15,924","277,522","245,442","50,075","179,941","20,061"
with_u6_female_public,"90,731","11,038","91,205","55,841","519,869","65,187","43,767","16,176","5,760","293,593","170,543","16,008","26,934","149,039","101,843","46,131","36,237","76,980","89,519","13,959","74,474","75,218","137,765","64,008","50,599","81,320","13,596","22,499","44,826","11,164","118,367","38,826","286,594","155,197","8,638","162,619","77,445","48,291","164,145","12,595","84,617","9,622","114,582","482,408","26,483","6,341","95,040","106,332","24,894","65,376","8,444"
no_u6_female_public,"84,485","13,552","140,125","50,725","701,605","111,957","61,609","16,471","16,165","364,167","197,926","30,165","37,652","246,564","133,091","62,510","66,086","75,386","70,168","22,703","132,120","123,005","178,465","127,680","47,535","120,908","19,198","46,121","59,044","25,743","186,988","23,153","321,639","193,101","19,971","224,599","66,787","69,392","229,030","18,342","89,843","21,516","127,533","640,796","110,766","9,583","182,482","139,110","25,181","114,565","11,617"
total_618_female_public,"418,659","61,555","592,860","255,257","3,149,880","445,542","273,730","78,901","44,948","1,602,610","942,374","104,237","176,177","1,009,561","570,953","267,773","249,430","364,054","389,673","89,729","500,762","503,371","781,849","483,845","251,464","497,008","88,128","176,694","247,389","94,250","732,305","176,144","1,445,075","836,981","65,804","943,580","359,059","315,190","980,796","78,378","426,451","80,819","556,743","2,763,748","344,624","44,299","695,482","600,921","133,325","465,079","47,882"
with_618_female_public,"187,279","22,634","204,519","118,423","1,389,082","156,270","100,164","28,845","18,345","592,250","376,160","37,049","57,188","364,683","204,735","98,816","75,632","164,339","208,207","32,546","162,220","177,446","294,442","149,096","117,290","173,891","34,263","56,501","88,560","28,503","240,261","104,103","621,517","339,920","14,108","349,365","160,688","126,278","366,374","27,207","175,082","22,091","222,814","958,721","56,282","16,525","222,723","230,903","58,611","154,906","13,832"
no_618_female_public,"231,380","38,921","388,341","136,834","1,760,798","289,272","173,566","50,056","26,603","1,010,360","566,214","67,188","118,989","644,878","366,218","168,957","173,798","199,715","181,466","57,183","338,542","325,925","487,407","334,749","134,174","323,117","53,865","120,193","158,829","65,747","492,044","72,041","823,558","497,061","51,696","594,215","198,371","188,912","614,422","51,171","251,369","58,728","333,929","1,805,027","288,342","27,774","472,759","370,018","74,714","310,173","34,050"
total_1925_female_public,"236,739","26,212","326,822","140,761","1,724,293","258,542","150,433","42,554","40,094","876,822","504,681","50,344","93,191","543,711","317,131","148,370","136,645","198,446","196,838","53,528","252,393","342,330","449,154","240,964","133,502","277,601","47,020","93,086","124,373","57,355","369,039","85,957","869,245","492,049","39,626","497,270","187,344","173,435","557,374","51,269","228,203","37,123","316,758","1,413,787","193,564","28,133","372,150","311,257","72,992","264,614","22,256"
with_1925_female_public,"39,043","7,300","69,801","34,328","540,460","55,341","34,607","9,282","9,882","146,448","78,358","10,658","20,983","126,026","73,362","35,541","19,177","66,689","80,587","11,699","58,458","72,564","120,627","46,485","26,364","51,660","11,186","16,711","26,705","7,310","79,746","35,648","248,758","98,441","6,090","124,874","48,425","49,656","128,233","11,306","49,595","5,092","59,293","207,902","18,969","7,955","75,532","79,667","23,383","52,264","2,209"
no_1925_female_public,"197,696","18,912","257,021","106,433","1,183,833","203,201","115,826","33,272","30,212","730,374","426,323","39,686","72,208","417,685","243,769","112,829","117,468","131,757","116,251","41,829","193,935","269,766","328,527","194,479","107,138","225,941","35,834","76,375","97,668","50,045","289,293","50,309","620,487","393,608","33,536","372,396","138,919","123,779","429,141","39,963","178,608","32,031","257,465","1,205,885","174,595","20,178","296,618","231,590","49,609","212,350","20,047"
total_2634_female_public,"293,404","48,378","448,328","172,745","2,496,642","397,542","206,512","56,075","71,317","1,257,560","684,368","78,240","109,229","757,717","401,709","174,655","164,628","261,686","268,537","77,243","362,126","435,465","576,218","328,125","162,260","360,470","63,777","109,211","201,146","77,931","536,125","120,906","1,243,317","645,247","47,291","693,187","238,164","263,377","731,642","67,902","309,984","49,873","439,105","1,940,340","216,457","33,775","517,560","513,612","89,263","325,804","35,517"
with_2634_female_public,"57,311","10,712","106,750","47,895","704,654","78,164","55,282","15,136","11,020","194,211","113,901","18,511","25,491","166,899","101,222","44,292","26,971","87,710","99,226","20,799","76,934","104,864","175,701","73,486","32,128","69,732","18,394","19,436","50,035","12,531","110,884","45,928","371,736","127,869","6,259","188,610","56,091","78,007","184,203","17,083","65,979","7,401","93,697","234,773","21,846","9,388","107,031","112,934","29,085","71,924","5,861"
no_2634_female_public,"236,093","37,666","341,578","124,850","1,791,988","319,378","151,230","40,939","60,297","1,063,349","570,467","59,729","83,738","590,818","300,487","130,363","137,657","173,976","169,311","56,444","285,192","330,601","400,517","254,639","130,132","290,738","45,383","89,775","151,111","65,400","425,241","74,978","871,581","517,378","41,032","504,577","182,073","185,370","547,439","50,819","244,005","42,472","345,408","1,705,567","194,611","24,387","410,529","400,678","60,178","253,880","29,656"
total_3544_female_public,"328,286","50,818","458,214","198,328","2,650,679","414,139","235,075","65,329","57,813","1,434,933","766,701","93,171","127,246","830,617","434,943","202,786","189,521","280,428","312,617","88,529","431,934","463,142","613,626","386,038","199,174","398,200","72,757","129,834","216,897","86,582","611,882","133,791","1,272,347","716,265","50,374","738,486","266,370","294,320","821,804","70,083","347,283","56,775","471,746","2,125,829","228,826","40,728","593,337","551,157","103,492","371,106","38,675"
with_3544_female_public,"53,124","11,552","86,729","47,520","641,313","75,250","55,651","13,622","10,639","218,681","107,704","19,244","19,879","161,979","94,129","41,832","21,942","81,579","102,234","19,841","73,867","116,362","160,853","80,226","34,674","68,785","16,764","21,372","41,540","12,870","104,764","48,460","356,774","115,898","5,143","181,534","53,768","70,236","180,079","14,400","63,331","6,068","89,693","208,436","22,514","9,278","113,425","102,040","31,277","71,431","3,379"
no_3544_female_public,"275,162","39,266","371,485","150,808","2,009,366","338,889","179,424","51,707","47,174","1,216,252","658,997","73,927","107,367","668,638","340,814","160,954","167,579","198,849","210,383","68,688","358,067","346,780","452,773","305,812","164,500","329,415","55,993","108,462","175,357","73,712","507,118","85,331","915,573","600,367","45,231","556,952","212,602","224,084","641,725","55,683","283,952","50,707","382,053","1,917,393","206,312","31,450","479,912","449,117","72,215","299,675","35,296"
total_4554_female_public,"317,413","37,980","430,319","180,621","2,406,955","346,031","225,325","60,302","35,876","1,389,851","720,237","83,265","109,001","773,609","404,996","177,810","158,642","276,466","267,639","84,672","390,875","429,973","598,912","323,356","184,021","361,056","61,263","107,855","197,840","84,064","602,910","119,479","1,204,358","688,932","36,122","700,016","227,062","257,480","758,947","65,092","328,071","47,589","440,559","1,875,116","188,430","37,605","533,747","455,648","109,981","336,864","28,107"
with_4554_female_public,"51,046","7,141","78,707","36,893","548,375","53,333","41,890","9,869","6,729","168,251","85,429","15,995","13,313","130,983","75,104","30,092","15,761","74,481","76,238","16,504","61,909","95,069","124,821","53,044","31,420","52,746","11,526","12,761","33,295","10,244","97,825","36,173","320,056","90,726","5,817","137,616","41,295","54,153","144,359","15,555","49,667","5,776","67,093","170,570","16,526","8,159","87,515","71,818","26,427","51,715","2,432"
no_4554_female_public,"266,367","30,839","351,612","143,728","1,858,580","292,698","183,435","50,433","29,147","1,221,600","634,808","67,270","95,688","642,626","329,892","147,718","142,881","201,985","191,401","68,168","328,966","334,904","474,091","270,312","152,601","308,310","49,737","95,094","164,545","73,820","505,085","83,306","884,302","598,206","30,305","562,400","185,767","203,327","614,588","49,537","278,404","41,813","373,466","1,704,546","171,904","29,446","446,232","383,830","83,554","285,149","25,675"
total_5564_female_public,"338,031","41,664","449,794","190,700","2,352,686","339,993","260,006","75,183","32,177","1,558,172","688,693","88,246","114,212","803,588","425,196","200,367","175,715","297,463","294,619","106,777","425,935","483,428","677,644","361,178","189,906","403,137","71,945","114,143","196,267","110,052","634,729","132,751","1,331,693","707,324","43,309","771,956","237,138","256,380","879,088","77,036","369,607","56,427","463,531","1,692,150","154,725","47,633","563,485","461,314","120,168","402,049","37,183"
with_5564_female_public,"83,536","7,722","94,343","59,464","627,505","65,781","54,437","20,496","11,755","263,727","130,184","17,789","21,029","164,231","101,291","39,752","26,993","97,545","98,836","23,897","86,157","116,413","175,314","65,804","50,871","88,858","15,653","17,841","45,066","17,345","120,563","45,088","394,445","129,978","6,332","182,143","57,361","65,958","208,854","18,395","78,149","8,592","99,050","253,452","21,580","10,284","116,704","95,552","43,938","71,320","5,763"
no_5564_female_public,"254,495","33,942","355,451","131,236","1,725,181","274,212","205,569","54,687","20,422","1,294,445","558,509","70,457","93,183","639,357","323,905","160,615","148,722","199,918","195,783","82,880","339,778","367,015","502,330","295,374","139,035","314,279","56,292","96,302","151,201","92,707","514,166","87,663","937,248","577,346","36,977","589,813","179,777","190,422","670,234","58,641","291,458","47,835","364,481","1,438,698","133,145","37,349","446,781","365,762","76,230","330,729","31,420"
total_6574_female_public,"293,046","32,603","428,257","169,699","1,922,488","298,048","207,892","70,315","28,302","1,420,448","552,771","85,408","105,160","675,373","367,549","172,901","156,361","254,113","255,915","97,749","335,884","397,255","602,600","306,962","164,302","351,047","71,966","103,532","172,959","88,948","503,669","130,571","1,097,661","611,427","37,804","685,700","208,022","257,804","784,655","64,915","331,194","51,540","397,241","1,342,068","130,038","43,627","466,773","417,075","115,910","346,486","34,544"
with_6574_female_public,"280,469","30,805","402,244","163,745","1,761,087","280,716","192,004","66,874","26,076","1,331,962","515,629","78,847","101,006","623,544","348,157","166,762","148,279","243,732","243,781","93,418","300,253","362,194","579,292","289,322","158,920","334,318","68,538","97,742","160,103","83,961","456,929","124,524","1,027,292","583,916","36,779","642,249","198,432","246,164","742,499","60,136","318,764","49,800","381,309","1,232,701","121,738","41,803","436,115","387,073","112,370","332,978","32,762"
no_6574_female_public,"12,577","1,798","26,013","5,954","161,401","17,332","15,888","3,441","2,226","88,486","37,142","6,561","4,154","51,829","19,392","6,139","8,082","10,381","12,134","4,331","35,631","35,061","23,308","17,640","5,382","16,729","3,428","5,790","12,856","4,987","46,740","6,047","70,369","27,511","1,025","43,451","9,590","11,640","42,156","4,779","12,430","1,740","15,932","109,367","8,300","1,824","30,658","30,002","3,540","13,508","1,782"
total_o75_female_public,"208,861","18,776","333,564","123,172","1,476,632","197,083","160,696","47,351","22,223","1,202,756","376,522","75,967","68,745","505,381","257,770","130,612","111,584","173,001","173,786","67,905","246,886","298,686","421,459","217,315","113,524","251,777","45,820","73,327","117,663","60,305","392,523","95,571","871,641","429,606","28,209","489,662","150,190","181,135","597,050","48,128","228,438","33,425","275,769","903,781","86,429","30,822","340,122","291,229","82,249","241,468","21,502"
with_o75_female_public,"206,410","18,373","328,598","122,056","1,439,439","193,992","157,983","46,879","21,531","1,172,348","370,404","74,841","68,100","495,061","255,041","129,550","110,586","170,715","170,957","66,950","241,280","290,096","417,623","215,610","112,547","248,556","45,463","72,414","114,522","59,340","384,027","94,274","859,538","424,122","27,985","482,100","148,289","178,347","589,303","47,403","226,466","33,112","273,055","875,574","85,785","30,493","333,127","287,064","81,732","239,354","21,368"
no_o75_female_public,"2,451",403,"4,966","1,116","37,193","3,091","2,713",472,692,"30,408","6,118","1,126",645,"10,320","2,729","1,062",998,"2,286","2,829",955,"5,606","8,590","3,836","1,705",977,"3,221",357,913,"3,141",965,"8,496","1,297","12,103","5,484",224,"7,562","1,901","2,788","7,747",725,"1,972",313,"2,714","28,207",644,329,"6,995","4,165",517,"2,114",134
total_u6_male_employer,"176,722","29,639","241,846","108,462","1,286,384","191,008","112,528","32,173","24,232","699,028","383,463","45,573","71,152","408,833","250,193","112,518","102,284","165,298","173,765","35,750","213,584","212,930","321,735","197,706","101,050","217,909","34,102","75,296","105,042","37,658","320,351","63,687","634,825","370,074","28,087","402,597","147,192","124,607","412,504","35,561","170,469","35,724","257,414","1,166,218","143,128","17,018","292,510","259,096","53,260","193,214","17,529"
with_u6_male_employer,"82,386","13,643","123,640","44,786","655,429","102,775","64,701","17,499","15,710","280,937","172,359","23,184","36,764","244,799","132,934","63,943","57,170","71,496","63,433","20,336","120,559","134,011","183,146","123,999","37,989","113,223","15,383","47,103","49,487","24,574","187,357","19,216","313,996","166,832","19,034","215,690","58,859","72,273","227,255","21,207","73,033","20,499","114,904","530,313","96,745","10,411","165,414","140,345","26,026","117,783","8,728"
no_u6_male_employer,"94,336","15,996","118,206","63,676","630,955","88,233","47,827","14,674","8,522","418,091","211,104","22,389","34,388","164,034","117,259","48,575","45,114","93,802","110,332","15,414","93,025","78,919","138,589","73,707","63,061","104,686","18,719","28,193","55,555","13,084","132,994","44,471","320,829","203,242","9,053","186,907","88,333","52,334","185,249","14,354","97,436","15,225","142,510","635,905","46,383","6,607","127,096","118,751","27,234","75,431","8,801"
total_618_male_employer,"428,525","67,498","618,592","272,942","3,301,152","468,090","282,674","82,819","43,091","1,688,286","989,319","113,854","185,329","1,052,282","618,618","278,350","272,117","381,860","403,635","99,015","516,279","521,880","821,905","496,580","268,040","528,035","92,640","183,111","266,015","100,259","767,427","176,300","1,515,040","906,914","67,950","998,284","376,547","319,538","1,021,049","75,909","442,924","85,312","588,760","2,896,238","364,400","46,754","731,612","636,305","139,281","486,932","51,089"
with_618_male_employer,"206,108","31,554","315,328","121,023","1,651,319","266,590","161,461","45,612","23,761","736,783","479,472","63,934","107,794","620,777","358,140","171,535","165,864","195,486","167,807","56,571","299,817","332,956","500,363","324,128","106,394","297,358","47,159","110,994","143,099","64,502","461,263","62,354","774,187","432,810","47,203","588,770","167,904","181,171","582,879","45,273","206,322","51,288","294,123","1,378,472","245,616","26,655","420,255","358,058","74,373","317,145","29,695"
