variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
total_2634_hispanic,"30,338","8,867","337,889","38,174","2,214,860","188,628","91,658","13,193","14,042","762,775","155,411","16,749","37,339","321,249","80,752","34,419","52,645","27,540","40,154","5,354","88,133","139,078","84,146","54,423","11,455","46,584","8,051","33,775","139,183","9,203","263,863","123,263","524,915","151,378","5,893","79,325","68,080","94,566","157,667","29,084","47,828","8,164","70,626","1,599,813","75,960","1,730","122,318","165,359","5,573","62,073","10,987","356,463"
with_2634_hispanic,"20,661","7,571","268,896","26,579","1,882,987","149,823","74,096","8,367","13,249","564,060","85,364","15,523","28,888","256,291","62,185","24,960","38,102","19,614","23,703","4,753","56,742","126,794","68,569","43,269","7,890","35,752","6,881","24,779","103,968","7,466","188,426","102,789","437,267","92,338","5,219","58,106","44,763","75,031","127,535","23,474","29,510","6,500","42,015","1,014,454","58,356","1,182","86,553","128,732","4,951","49,214","7,234","317,972"
no_2634_hispanic,"9,677","1,296","68,993","11,595","331,873","38,805","17,562","4,826",793,"198,715","70,047","1,226","8,451","64,958","18,567","9,459","14,543","7,926","16,451",601,"31,391","12,284","15,577","11,154","3,565","10,832","1,170","8,996","35,215","1,737","75,437","20,474","87,648","59,040",674,"21,219","23,317","19,535","30,132","5,610","18,318","1,664","28,611","585,359","17,604",548,"35,765","36,627",622,"12,859","3,753","38,491"
total_3544_hispanic,"40,633","7,830","311,749","38,620","2,185,969","190,051","97,970","16,525","14,196","936,911","174,841","18,969","36,092","332,466","80,626","32,468","51,997","28,418","47,824","4,123","118,982","136,979","77,133","52,045","16,958","41,538","7,581","33,494","135,573","10,961","311,735","135,072","544,035","167,301","3,298","76,277","66,915","86,875","164,467","26,561","61,670","4,720","78,072","1,682,159","73,293","3,083","145,953","159,517","3,759","65,700","9,830","386,405"
with_3544_hispanic,"20,412","6,260","240,085","21,446","1,834,072","148,406","73,291","8,655","13,275","714,718","96,159","17,341","26,603","255,403","64,941","22,597","37,010","17,145","27,242","3,228","74,182","128,375","64,377","40,260","8,586","30,718","5,916","25,266","94,353","9,372","217,069","111,083","449,529","92,640","2,732","55,822","39,279","69,542","133,138","21,901","32,613","3,571","40,006","1,082,254","50,579","2,927","101,789","115,190","3,119","49,808","6,152","353,654"
no_3544_hispanic,"20,221","1,570","71,664","17,174","351,897","41,645","24,679","7,870",921,"222,193","78,682","1,628","9,489","77,063","15,685","9,871","14,987","11,273","20,582",895,"44,800","8,604","12,756","11,785","8,372","10,820","1,665","8,228","41,220","1,589","94,666","23,989","94,506","74,661",566,"20,455","27,636","17,333","31,329","4,660","29,057","1,149","38,066","599,905","22,714",156,"44,164","44,327",640,"15,892","3,678","32,751"
total_4554_hispanic,"29,313","5,393","263,630","31,426","1,912,778","148,280","81,933","12,920","9,442","870,840","148,569","12,534","26,693","305,225","67,551","24,214","40,711","25,215","34,048","4,209","99,720","106,625","68,818","38,506","11,839","32,806","4,286","25,043","116,492","6,195","276,033","114,871","484,079","142,512","2,140","56,219","49,728","71,718","122,523","22,327","44,019","3,655","53,271","1,430,943","56,975",977,"117,445","118,680","2,925","49,004","3,277","389,077"
with_4554_hispanic,"15,805","4,439","199,221","19,196","1,592,733","117,200","63,943","9,784","8,093","720,108","94,015","11,986","20,085","243,269","51,632","18,420","28,963","17,127","24,425","3,965","72,087","101,350","57,230","30,432","7,518","25,060","3,472","18,426","86,381","5,473","205,754","92,692","415,802","83,595","2,078","43,435","31,367","55,310","101,111","18,754","27,555","3,203","29,435","974,016","38,984",924,"83,404","78,780","2,549","38,288","2,775","358,815"
no_4554_hispanic,"13,508",954,"64,409","12,230","320,045","31,080","17,990","3,136","1,349","150,732","54,554",548,"6,608","61,956","15,919","5,794","11,748","8,088","9,623",244,"27,633","5,275","11,588","8,074","4,321","7,746",814,"6,617","30,111",722,"70,279","22,179","68,277","58,917",62,"12,784","18,361","16,408","21,412","3,573","16,464",452,"23,836","456,927","17,991",53,"34,041","39,900",376,"10,716",502,"30,262"
total_5564_hispanic,"18,651","4,134","197,238","20,056","1,509,153","104,735","59,273","8,498","6,407","721,643","89,104","9,573","18,941","208,689","39,882","14,525","26,139","15,363","24,936","2,163","66,867","79,281","42,089","23,273","6,185","21,045","3,894","15,992","82,329","6,275","213,641","105,468","413,476","86,589","1,913","39,265","32,547","44,634","87,979","16,951","31,010","2,131","33,387","1,054,987","37,190","1,897","77,804","74,194","3,375","30,519","4,304","425,932"
with_5564_hispanic,"14,254","3,101","165,055","14,238","1,345,838","90,469","52,393","6,904","5,415","627,234","64,916","8,720","16,262","176,022","33,305","12,032","21,158","12,532","21,542","1,916","54,249","75,187","38,228","20,176","5,325","17,878","3,638","12,805","68,198","5,899","180,705","95,026","380,335","62,614","1,888","33,737","24,475","39,959","77,726","14,869","24,442","2,008","24,823","794,162","29,685","1,879","65,155","58,352","3,170","23,962","3,536","398,639"
no_5564_hispanic,"4,397","1,033","32,183","5,818","163,315","14,266","6,880","1,594",992,"94,409","24,188",853,"2,679","32,667","6,577","2,493","4,981","2,831","3,394",247,"12,618","4,094","3,861","3,097",860,"3,167",256,"3,187","14,131",376,"32,936","10,442","33,141","23,975",25,"5,528","8,072","4,675","10,253","2,082","6,568",123,"8,564","260,825","7,505",18,"12,649","15,842",205,"6,557",768,"27,293"
total_6574_hispanic,"8,323","1,280","121,850","10,084","885,573","66,240","31,900","5,407","3,493","457,641","41,130","6,012","12,252","120,878","21,310","7,001","18,669","5,229","18,770","1,221","32,904","42,934","27,781","11,929","4,101","15,418","1,949","8,871","46,655","1,839","124,425","80,460","262,930","41,939","1,071","22,914","17,967","26,405","47,376","8,678","14,299","1,128","18,928","637,812","20,037","1,537","40,063","40,665","2,173","19,156","3,774","378,753"
with_6574_hispanic,"7,577","1,265","117,930","9,081","861,339","63,817","30,700","5,063","3,288","444,703","36,709","5,995","11,783","116,166","20,737","6,854","17,348","4,966","17,926","1,221","31,131","42,070","27,107","11,565","3,968","15,004","1,949","8,262","43,409","1,810","118,246","79,236","257,460","36,697","1,071","22,473","16,529","25,756","46,033","8,384","13,199","1,086","16,909","601,883","19,218","1,450","36,097","38,526","2,173","18,055","3,774","375,002"
no_6574_hispanic,746,15,"3,920","1,003","24,234","2,423","1,200",344,205,"12,938","4,421",17,469,"4,712",573,147,"1,321",263,844,0,"1,773",864,674,364,133,414,0,609,"3,246",29,"6,179","1,224","5,470","5,242",0,441,"1,438",649,"1,343",294,"1,100",42,"2,019","35,929",819,87,"3,966","2,139",0,"1,101",0,"3,751"
total_o75_hispanic,"5,914","1,284","67,660","2,568","506,433","35,775","18,471","2,465","2,166","334,367","22,929","2,668","4,237","64,419","11,832","3,360","8,589","3,263","12,404","1,135","15,890","23,638","15,997","5,427","1,894","7,772",973,"4,410","23,308",910,"72,048","54,028","175,061","19,720",271,"15,425","8,353","11,476","26,288","5,284","8,172","1,025","8,935","356,004","9,023",326,"19,939","17,984","1,159","8,593","1,591","379,635"
with_o75_hispanic,"5,557","1,284","66,619","2,568","499,362","35,486","18,310","2,292","2,166","329,251","21,150","2,643","4,224","62,997","11,680","3,178","7,934","3,258","12,139","1,135","15,219","22,984","15,728","5,231","1,857","7,729",973,"4,410","22,419",910,"69,244","53,420","172,916","18,570",133,"15,125","7,378","10,923","25,357","5,198","7,667","1,017","8,729","343,145","8,993",326,"18,832","16,940","1,159","8,290","1,476","377,520"
no_o75_hispanic,357,0,"1,041",0,"7,071",289,161,173,0,"5,116","1,779",25,13,"1,422",152,182,655,5,265,0,671,654,269,196,37,43,0,0,889,0,"2,804",608,"2,145","1,150",138,300,975,553,931,86,505,8,206,"12,859",30,0,"1,107","1,044",0,303,115,"2,115"
