variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
with_o75_white,"285,694","25,649","512,538","185,331","1,490,066","300,894","234,890","66,591","15,211","1,650,768","457,205","33,653","119,847","655,552","398,559","218,069","177,201","277,152","210,688","116,819","277,333","440,154","632,057","362,498","142,421","387,227","81,295","120,871","156,496","103,905","479,694","112,269","1,027,101","588,042","47,812","734,169","217,853","293,052","901,438","72,012","316,119","55,209","413,563","1,071,663","144,234","52,750","452,531","434,674","142,921","399,979","37,196","102,380"
no_o75_white,314,57,947,180,"4,620",469,713,35,0,"5,405","1,507",304,275,"1,526",398,234,900,660,474,247,655,"1,527",623,101,544,"1,101",63,213,676,0,"1,722",401,"1,056",944,67,"1,612",265,459,"2,511",254,474,9,618,"4,956",158,104,"1,170",541,80,837,86,662
total_u6_black,"96,752",846,"29,163","33,214","124,415","15,992","27,136","15,434","15,924","248,718","234,359","1,132","2,156","115,502","52,837","15,561","10,803","28,896","106,445","1,763","119,192","35,851","101,817","41,472","72,215","53,366",,"8,080","22,678","1,167","84,186","2,565","184,198","143,793",,"111,773","19,869","6,196","95,836","3,100","88,387","2,083","83,592","292,677","2,919",134,"101,924","22,048","3,734","31,038",,"2,893"
with_u6_black,"92,720",702,"27,261","31,823","120,308","15,710","26,032","14,965","15,698","231,625","226,244","1,132","2,156","113,762","49,125","15,325","10,555","27,833","101,866","1,605","113,117","35,800","100,108","39,980","69,074","50,965",,"7,215","21,456","1,039","82,040","2,565","178,622","137,954",,"107,006","19,569","6,196","91,613","3,068","84,928","1,961","80,197","271,299","2,843",134,"99,067","21,879","3,630","30,655",,"2,852"
no_u6_black,"4,032",144,"1,902","1,391","4,107",282,"1,104",469,226,"17,093","8,115",0,0,"1,740","3,712",236,248,"1,063","4,579",158,"6,075",51,"1,709","1,492","3,141","2,401",,865,"1,222",128,"2,146",0,"5,576","5,839",,"4,767",300,0,"4,223",32,"3,459",122,"3,395","21,378",76,0,"2,857",169,104,383,,41
total_618_black,"231,602","2,333","67,429","88,067","316,431","36,621","68,772","45,909","46,601","612,086","624,137","3,518","3,908","290,521","118,012","28,375","26,603","61,731","264,445","4,987","294,578","90,246","235,904","103,550","204,176","122,808",,"18,271","54,036","4,720","196,140","6,685","444,177","363,481",,"272,085","50,253","15,338","250,009","9,961","241,846","6,332","188,889","706,626","9,562","1,205","267,130","57,978","7,386","75,413",,"21,220"
with_618_black,"220,057","2,333","61,084","83,123","304,243","35,141","64,765","43,399","45,877","564,399","586,166","3,518","3,792","282,720","111,577","27,271","25,295","58,962","258,206","4,649","283,205","88,292","231,888","97,454","195,394","117,273",,"16,352","52,055","4,392","184,937","6,524","429,436","350,443",,"261,021","48,304","15,095","235,903","9,571","227,505","5,896","178,906","643,355","9,404","1,205","257,994","55,567","6,100","73,444",,"19,930"
no_618_black,"11,545",0,"6,345","4,944","12,188","1,480","4,007","2,510",724,"47,687","37,971",0,116,"7,801","6,435","1,104","1,308","2,769","6,239",338,"11,373","1,954","4,016","6,096","8,782","5,535",,"1,919","1,981",328,"11,203",161,"14,741","13,038",,"11,064","1,949",243,"14,106",390,"14,341",436,"9,983","63,271",158,0,"9,136","2,411","1,286","1,969",,"1,290"
total_1925_black,"132,405","1,965","35,470","45,191","183,358","22,168","36,732","22,290","25,332","320,211","323,004",946,"2,515","152,589","62,764","16,841","17,355","33,895","132,270","3,068","154,780","52,328","126,023","42,054","104,807","64,545",,"9,865","23,611","3,548","103,333","4,997","262,801","212,596",,"124,935","29,424","9,750","137,799","6,156","119,703","3,206","105,992","349,592","5,816",733,"144,078","29,638","5,811","38,098",,"15,130"
with_1925_black,"103,109","1,316","28,060","38,194","165,516","19,942","34,155","19,934","23,897","256,483","254,567",931,"2,454","133,663","53,113","13,595","14,802","29,893","118,564","2,330","144,307","48,622","115,147","38,228","78,321","50,355",,"7,239","19,018","2,905","91,406","4,827","243,819","182,749",,"108,664","23,335","9,097","121,600","5,975","100,719","1,043","86,499","260,065","4,486",643,"128,039","27,362","4,590","32,709",,"13,753"
no_1925_black,"29,296",649,"7,410","6,997","17,842","2,226","2,577","2,356","1,435","63,728","68,437",15,61,"18,926","9,651","3,246","2,553","4,002","13,706",738,"10,473","3,706","10,876","3,826","26,486","14,190",,"2,626","4,593",643,"11,927",170,"18,982","29,847",,"16,271","6,089",653,"16,199",181,"18,984","2,163","19,493","89,527","1,330",90,"16,039","2,276","1,221","5,389",,"1,377"
total_2634_black,"154,294","2,416","50,924","50,076","296,760","34,908","58,446","24,507","41,025","437,830","447,020","3,166","2,605","220,252","79,542","17,179","18,952","43,091","162,864","3,641","222,366","68,329","176,769","54,177","109,973","91,127",,"11,819","43,572","2,247","152,194","5,570","373,792","274,968",,"186,781","34,782","14,846","181,792","10,254","150,103","3,026","150,357","526,886","6,814",571,"195,201","46,218","3,809","50,794",,"19,682"
with_2634_black,"127,716","2,162","42,974","41,788","266,002","31,271","51,824","20,814","38,680","343,832","359,944","2,545","2,171","195,495","67,669","13,852","13,746","37,288","142,337","3,154","197,720","63,446","157,270","48,264","86,406","72,921",,"9,201","38,089","1,801","135,928","4,593","337,561","232,209",,"162,116","28,139","13,932","158,662","8,633","121,043","2,228","124,778","411,348","5,306",464,"169,686","41,160","3,538","44,182",,"17,226"
no_2634_black,"26,578",254,"7,950","8,288","30,758","3,637","6,622","3,693","2,345","93,998","87,076",621,434,"24,757","11,873","3,327","5,206","5,803","20,527",487,"24,646","4,883","19,499","5,913","23,567","18,206",,"2,618","5,483",446,"16,266",977,"36,231","42,759",,"24,665","6,643",914,"23,130","1,621","29,060",798,"25,579","115,538","1,508",107,"25,515","5,058",271,"6,612",,"2,456"
total_3544_black,"167,654","4,082","48,008","59,356","282,150","34,146","54,271","30,472","35,527","444,194","450,789","3,229","1,962","208,045","82,393","17,488","21,915","41,320","180,488","5,778","245,349","66,417","154,878","62,132","142,825","79,497",,"12,342","44,433","4,038","154,453","4,598","360,716","280,011",,"170,929","33,709","13,023","176,384","9,287","169,639","3,245","141,965","536,528","5,147","1,704","215,568","49,723","6,924","40,700",,"18,642"
with_3544_black,"140,267","3,182","42,161","52,884","262,762","29,829","50,032","27,570","33,964","372,661","383,372","2,981","1,919","192,635","71,281","15,184","17,794","37,012","161,882","4,924","226,815","65,227","142,224","56,122","116,052","68,729",,"10,952","40,924","2,859","140,495","3,570","336,040","245,503",,"154,079","30,139","12,705","159,898","8,233","144,993","2,557","121,152","443,887","4,497","1,704","197,512","42,263","6,074","37,964",,"16,679"
no_3544_black,"27,387",900,"5,847","6,472","19,388","4,317","4,239","2,902","1,563","71,533","67,417",248,43,"15,410","11,112","2,304","4,121","4,308","18,606",854,"18,534","1,190","12,654","6,010","26,773","10,768",,"1,390","3,509","1,179","13,958","1,028","24,676","34,508",,"16,850","3,570",318,"16,486","1,054","24,646",688,"20,813","92,641",650,0,"18,056","7,460",850,"2,736",,"1,963"
total_4554_black,"150,458","2,495","40,145","46,055","247,188","25,784","48,423","26,272","29,571","393,233","430,192","2,226",869,"191,451","68,109","12,440","13,725","35,383","150,921","2,933","227,071","59,587","154,064","45,992","127,275","72,934",,"9,908","34,127","1,510","148,913","3,825","328,871","264,894",,"154,576","30,202","9,519","149,078","6,356","148,268","2,291","125,178","447,465","3,171","2,080","185,052","38,968","6,839","34,771",,"19,657"
with_4554_black,"131,770","1,778","36,687","42,076","235,467","22,684","44,323","24,598","28,384","339,174","385,179","2,226",869,"178,326","62,250","11,386","12,954","33,263","137,121","2,436","213,870","56,820","145,219","42,794","112,010","66,593",,"8,317","31,374","1,156","138,474","3,714","312,714","230,404",,"142,289","26,718","9,084","137,668","6,215","132,514","2,075","111,237","383,358","2,629","1,998","173,261","35,932","5,977","32,668",,"17,764"
no_4554_black,"18,688",717,"3,458","3,979","11,721","3,100","4,100","1,674","1,187","54,059","45,013",0,0,"13,125","5,859","1,054",771,"2,120","13,800",497,"13,201","2,767","8,845","3,198","15,265","6,341",,"1,591","2,753",354,"10,439",111,"16,157","34,490",,"12,287","3,484",435,"11,410",141,"15,754",216,"13,941","64,107",542,82,"11,791","3,036",862,"2,103",,"1,893"
total_5564_black,"148,314","2,172","34,987","45,679","270,326","22,756","45,538","29,002","33,275","371,728","393,398","2,041","1,043","197,688","62,834","9,666","17,003","36,655","159,674","1,424","240,630","52,745","147,229","30,431","119,223","75,829",,"8,585","32,843","1,770","151,323","3,805","365,916","264,988",,"154,098","28,209","7,663","150,732","6,476","164,205","1,529","124,178","388,409","1,879",734,"202,036","31,066","6,797","32,215",,"27,855"
with_5564_black,"136,377","2,164","32,023","42,435","258,357","20,663","43,561","27,314","31,912","334,618","360,550","2,041",944,"185,016","60,273","8,573","15,622","34,205","153,375","1,414","228,658","50,529","140,113","27,725","107,495","68,717",,"7,982","29,476","1,551","139,905","3,752","347,357","240,547",,"143,599","26,110","7,604","142,869","6,089","150,291","1,179","112,877","345,766","1,793",568,"191,400","28,319","6,531","29,721",,"25,989"
no_5564_black,"11,937",8,"2,964","3,244","11,969","2,093","1,977","1,688","1,363","37,110","32,848",0,99,"12,672","2,561","1,093","1,381","2,450","6,299",10,"11,972","2,216","7,116","2,706","11,728","7,112",,603,"3,367",219,"11,418",53,"18,559","24,441",,"10,499","2,099",59,"7,863",387,"13,914",350,"11,301","42,643",86,166,"10,636","2,747",266,"2,494",,"1,866"
total_6574_black,"125,441","1,152","24,523","38,841","191,365","16,941","28,576","21,778","27,422","279,559","283,271","1,915",597,"148,904","46,163","4,730","12,910","28,581","125,192",677,"169,141","37,837","119,959","16,566","97,944","56,459",,"5,123","23,294","1,095","96,008","5,211","255,443","213,647",,"122,670","22,634","5,985","113,172","5,056","131,413",420,"96,105","270,564","1,335",355,"150,873","19,248","6,009","23,343",,"25,045"
with_6574_black,"124,431","1,050","24,156","38,524","189,771","16,910","27,895","21,257","27,203","273,689","280,450","1,915",597,"146,464","45,597","4,719","12,702","28,269","124,400",677,"167,609","37,549","119,273","16,507","96,982","56,214",,"5,119","23,097","1,095","94,760","5,211","251,333","211,788",,"121,149","22,552","5,853","111,575","4,613","130,195",420,"95,020","265,507","1,335",331,"149,430","19,005","5,949","23,077",,"24,518"
no_6574_black,"1,010",102,367,317,"1,594",31,681,521,219,"5,870","2,821",0,0,"2,440",566,11,208,312,792,0,"1,532",288,686,59,962,245,,4,197,0,"1,248",0,"4,110","1,859",,"1,521",82,132,"1,597",443,"1,218",0,"1,085","5,057",0,24,"1,443",243,60,266,,527
total_o75_black,"60,111",144,"12,150","20,103","117,885","7,734","18,633","12,114","17,740","160,746","134,200",718,284,"93,692","23,590","2,380","6,769","13,769","63,933",163,"97,786","20,379","70,279","8,200","45,103","30,716",,"2,543","12,628",468,"60,850","1,812","166,111","112,480",,"69,699","10,544","2,555","68,226","2,101","66,129",48,"46,184","125,705",292,251,"82,902","9,853","2,255","11,107",,"18,647"
with_o75_black,"60,017",144,"12,150","20,103","116,902","7,651","18,453","12,101","17,740","158,704","133,626",718,284,"93,615","22,931","2,380","6,696","13,769","63,816",163,"97,697","19,853","69,727","8,194","44,622","30,595",,"2,543","12,628",445,"59,866","1,812","164,873","111,577",,"69,297","10,393","2,555","68,150","2,021","66,066",48,"46,149","123,532",292,251,"82,482","9,595","2,255","11,060",,"18,423"
no_o75_black,94,0,0,0,983,83,180,13,0,"2,042",574,0,0,77,659,0,73,0,117,0,89,526,552,6,481,121,,0,0,23,984,0,"1,238",903,,402,151,0,76,80,63,0,35,"2,173",0,0,420,258,0,47,,224
total_u6_asian,"4,449","2,690","13,264","3,970","316,424","13,449","9,803","3,265",323,"37,788","29,305","21,273",958,"40,581","12,815","5,415","4,360","4,663","3,313",468,"20,668","27,308","19,179","22,570","1,037","6,012",502,"3,517","14,587","1,816","54,418","2,031","97,603","22,375",536,"16,299","5,222","10,299","30,372","1,859","3,831",654,"5,952","109,010","5,609",691,"30,830","43,259",699,"13,263",,
with_u6_asian,"3,888","2,690","12,588","3,943","308,169","12,689","9,646","3,265",323,"35,777","28,591","21,002",809,"40,023","11,954","5,104","4,360","4,587","2,830",468,"20,369","26,931","19,111","22,540",888,"5,251",502,"3,483","13,855","1,816","53,351","1,965","94,390","22,074",495,"15,702","4,842","10,299","29,756","1,288","3,672",471,"5,880","101,672","5,516",649,"29,957","42,660",699,"12,924",,
no_u6_asian,561,0,676,27,"8,255",760,157,0,0,"2,011",714,271,149,558,861,311,0,76,483,0,299,377,68,30,149,761,0,34,732,0,"1,067",66,"3,213",301,41,597,380,0,616,571,159,183,72,"7,338",93,42,873,599,0,339,,
total_618_asian,"12,843","5,353","36,540","8,509","835,141","23,795","28,984","6,018","2,163","94,469","81,109","50,606","4,231","109,102","33,921","11,571","10,602","9,001","10,789","1,882","61,499","74,777","55,644","59,340","3,820","20,577","1,530","8,578","32,139","4,796","150,523","4,771","249,818","58,530","1,078","52,329","16,688","21,783","82,018","5,241","14,261","2,894","20,986","287,206","11,087","1,807","93,575","97,309","1,493","36,200",,
with_618_asian,"11,914","4,922","33,230","8,455","814,707","23,241","28,712","5,693","2,163","88,922","76,892","48,983","3,787","105,380","32,301","11,482","9,628","8,952","10,093","1,779","59,036","71,687","54,021","58,390","3,136","19,396","1,444","8,140","30,230","4,772","146,788","4,616","240,726","55,657","1,078","49,851","15,833","21,541","77,788","5,193","13,477","2,505","19,172","264,065","10,918","1,667","90,274","94,652","1,401","35,403",,
no_618_asian,929,431,"3,310",54,"20,434",554,272,325,0,"5,547","4,217","1,623",444,"3,722","1,620",89,974,49,696,103,"2,463","3,090","1,623",950,684,"1,181",86,438,"1,909",24,"3,735",155,"9,092","2,873",0,"2,478",855,242,"4,230",48,784,389,"1,814","23,141",169,140,"3,301","2,657",92,797,,
total_1925_asian,"7,860","4,121","26,329","4,630","480,176","17,385","17,632","3,665","5,600","53,705","41,037","29,833","3,139","72,003","23,887","8,372","9,848","6,691","7,073","2,184","32,575","64,396","40,767","30,518","1,730","14,651",498,"5,724","19,601","2,516","68,893","2,220","162,886","33,963","1,940","30,651","11,877","17,777","47,933","4,661","8,814","1,569","11,045","135,848","9,119","1,663","50,544","64,365","1,920","21,139",,
with_1925_asian,"6,289","3,106","24,318","3,846","451,557","15,639","16,306","3,142","5,444","44,955","34,962","28,713","2,677","65,716","21,161","7,763","8,316","6,416","6,313","2,035","30,850","61,127","37,849","28,200","1,529","13,330",393,"5,420","17,261","2,448","64,862","2,180","153,559","31,111","1,524","27,244","9,246","16,924","44,517","4,510","7,961","1,531","10,315","117,563","7,710","1,575","45,025","60,561","1,878","18,406",,
no_1925_asian,"1,571","1,015","2,011",784,"28,619","1,746","1,326",523,156,"8,750","6,075","1,120",462,"6,287","2,726",609,"1,532",275,760,149,"1,725","3,269","2,918","2,318",201,"1,321",105,304,"2,340",68,"4,031",40,"9,327","2,852",416,"3,407","2,631",853,"3,416",151,853,38,730,"18,285","1,409",88,"5,519","3,804",42,"2,733",,
total_2634_asian,"10,622","5,589","39,358","7,593","833,634","33,848","23,097","6,546","6,119","79,831","69,546","51,169","3,648","105,750","27,338","13,160","10,725","11,024","12,656","2,479","47,715","81,704","49,828","49,157","4,878","21,652",737,"7,374","39,783","6,021","120,984","7,451","253,188","48,673","3,093","45,348","12,913","31,206","69,924","6,087","11,221","2,204","18,583","255,499","15,639","1,898","78,826","154,296","1,918","30,583",,
with_2634_asian,"9,607","5,328","35,935","6,913","784,332","30,879","21,601","6,223","5,936","70,729","60,975","49,195","3,172","95,433","24,965","12,443","8,999","10,449","11,398","2,209","43,844","78,445","46,998","46,332","3,778","19,962",631,"6,956","35,012","5,121","114,043","7,174","233,016","45,155","2,876","42,750","11,535","29,157","64,861","5,461","10,291","2,167","16,591","223,594","15,160","1,464","74,710","145,633","1,874","28,496",,
no_2634_asian,"1,015",261,"3,423",680,"49,302","2,969","1,496",323,183,"9,102","8,571","1,974",476,"10,317","2,373",717,"1,726",575,"1,258",270,"3,871","3,259","2,830","2,825","1,100","1,690",106,418,"4,771",900,"6,941",277,"20,172","3,518",217,"2,598","1,378","2,049","5,063",626,930,37,"1,992","31,905",479,434,"4,116","8,663",44,"2,087",,
total_3544_asian,"13,900","6,930","47,112","9,635","949,112","35,280","33,676","8,182","6,434","111,966","92,494","63,692","4,981","126,033","30,570","15,273","11,721","12,069","14,731","3,118","65,039","90,180","56,397","54,129","4,250","20,487","1,764","8,386","45,019","6,832","166,155","5,258","272,959","71,415","2,942","53,287","15,811","34,982","90,217","7,430","18,480","1,872","25,156","318,679","14,351","2,169","101,450","138,756","2,309","32,152",,
with_3544_asian,"13,237","5,009","44,890","9,250","904,477","33,891","31,869","8,099","6,434","102,283","83,902","61,565","4,535","118,259","28,182","14,570","10,586","11,059","12,253","2,447","60,962","87,017","53,084","51,375","3,271","19,905","1,387","7,704","40,518","6,232","160,040","5,043","254,092","67,592","2,839","49,395","13,688","34,325","84,402","7,112","16,231","1,394","22,060","289,217","13,598","2,147","96,649","132,173","2,155","30,500",,
no_3544_asian,663,"1,921","2,222",385,"44,635","1,389","1,807",83,0,"9,683","8,592","2,127",446,"7,774","2,388",703,"1,135","1,010","2,478",671,"4,077","3,163","3,313","2,754",979,582,377,682,"4,501",600,"6,115",215,"18,867","3,823",103,"3,892","2,123",657,"5,815",318,"2,249",478,"3,096","29,462",753,22,"4,801","6,583",154,"1,652",,
total_4554_asian,"10,422","5,979","41,963","6,659","863,592","27,067","24,870","5,623","3,540","101,595","76,114","73,038","3,561","109,183","24,243","10,006","13,328","8,524","10,987","2,134","63,152","70,682","48,821","36,253","3,941","18,574","1,341","6,242","42,545","6,105","146,444","5,505","245,971","54,619",899,"45,183","13,208","29,240","69,402","4,187","13,923","2,739","19,326","255,780","11,155","1,263","94,306","103,621","2,020","21,080",,
with_4554_asian,"9,294","5,712","39,450","6,436","829,604","26,118","24,350","5,368","3,540","91,275","70,220","71,168","3,292","101,339","22,481","9,428","11,283","7,451","9,368","2,109","60,831","69,864","46,773","34,953","3,519","16,710","1,234","6,137","38,080","6,040","139,688","5,307","230,691","51,179",899,"40,960","12,060","27,211","64,738","4,024","11,799","2,480","18,022","232,861","10,131","1,170","88,779","98,663","1,544","20,268",,
no_4554_asian,"1,128",267,"2,513",223,"33,988",949,520,255,0,"10,320","5,894","1,870",269,"7,844","1,762",578,"2,045","1,073","1,619",25,"2,321",818,"2,048","1,300",422,"1,864",107,105,"4,465",65,"6,756",198,"15,280","3,440",0,"4,223","1,148","2,029","4,664",163,"2,124",259,"1,304","22,919","1,024",93,"5,527","4,958",476,812,,
total_5564_asian,"8,913","6,267","28,813","5,222","759,021","20,448","17,982","4,646","1,473","83,713","51,632","79,577","2,759","79,288","13,300","7,242","6,912","5,547","9,755","2,195","50,645","50,509","35,212","24,041","4,070","12,886","1,453","4,254","40,321","4,693","109,847","5,241","219,109","34,157",299,"27,513","8,722","24,193","50,568","3,764","9,616",720,"13,998","171,183","9,061",908,"69,195","78,122","1,193","13,509",,
with_5564_asian,"8,016","5,733","26,774","4,859","728,845","18,499","17,498","4,602","1,473","75,950","45,574","77,751","2,524","74,910","12,225","6,587","6,585","5,143","9,072","2,168","46,911","49,770","33,572","23,136","3,843","12,129","1,020","3,843","37,395","4,561","102,603","4,915","207,474","31,364",299,"25,162","8,067","23,193","48,123","3,764","8,614",720,"12,689","150,558","8,645",908,"65,500","74,146","1,088","12,858",,
no_5564_asian,897,534,"2,039",363,"30,176","1,949",484,44,0,"7,763","6,058","1,826",235,"4,378","1,075",655,327,404,683,27,"3,734",739,"1,640",905,227,757,433,411,"2,926",132,"7,244",326,"11,635","2,793",0,"2,351",655,"1,000","2,445",0,"1,002",0,"1,309","20,625",416,0,"3,695","3,976",105,651,,
total_6574_asian,"4,900","3,556","21,766","3,182","625,553","13,444","12,527","3,896","1,576","69,412","36,457","75,886","2,800","65,762","10,244","2,797","5,429","3,653","6,260","1,019","37,945","35,471","21,253","14,397","2,287","7,956",928,"2,787","34,463","2,162","79,427","3,668","169,939","20,631",68,"18,513","6,093","15,870","36,151","2,133","7,546",919,"10,564","122,155","5,575",310,"48,676","58,334",745,"7,644",,
with_6574_asian,"4,689","3,409","20,974","3,182","614,704","13,099","11,768","3,896","1,501","68,004","34,844","75,652","2,800","64,883","9,929","2,675","5,308","3,653","6,192","1,019","37,229","34,539","20,349","14,109","2,260","7,938",928,"2,763","33,624","2,072","77,645","3,668","165,955","19,971",68,"18,152","6,012","15,334","35,020","2,133","7,079",861,"9,983","115,244","5,032",310,"47,595","57,266",745,"7,641",,
no_6574_asian,211,147,792,0,"10,849",345,759,0,75,"1,408","1,613",234,0,879,315,122,121,0,68,0,716,932,904,288,27,18,0,24,839,90,"1,782",0,"3,984",660,0,361,81,536,"1,131",0,467,58,581,"6,911",543,0,"1,081","1,068",0,3,,
total_o75_asian,"2,900","1,650","12,910","1,913","449,760","8,113","6,517","2,606",797,"43,967","20,285","72,723",659,"45,566","5,618","1,713","3,143","2,467","3,475",326,"26,920","20,139","12,879","6,865","1,170","4,846",356,"1,608","22,794","1,002","50,608","1,238","108,059","11,972",682,"12,020","2,838","8,611","21,894","1,656","5,190",254,"4,232","71,693","2,618",493,"29,476","37,029",280,"3,178",,
with_o75_asian,"2,900","1,529","12,708","1,913","445,795","8,018","6,384","2,606",797,"43,087","19,833","72,466",659,"44,702","5,509","1,713","3,064","2,092","3,460",326,"26,231","19,934","12,506","6,698","1,170","4,846",356,"1,067","22,402",912,"49,671","1,238","106,194","11,898",615,"11,755","2,838","8,574","21,230","1,656","5,181",254,"3,956","68,873","2,618",493,"28,989","36,727",280,"3,090",,
no_o75_asian,0,121,202,0,"3,965",95,133,0,0,880,452,257,0,864,109,0,79,375,15,0,689,205,373,167,0,0,0,541,392,90,937,0,"1,865",74,67,265,0,37,664,0,9,0,276,"2,820",0,0,487,302,0,88,,
total_u6_multi,"35,621","13,503","145,945","37,883","700,701","92,315","42,260","11,463","12,287","327,796","109,890","43,905","22,623","143,460","68,945","23,290","38,545","36,899","47,221","7,535","68,010","89,625","82,786","51,632","20,788","56,090","7,366","20,348","61,433","10,371","121,771","41,641","202,177","120,389","8,092","102,789","75,801","55,243","124,993","19,802","48,995","6,788","74,100","684,811","44,622","3,615","107,466","121,169","10,775","57,447","4,270","44,628"
with_u6_multi,"34,841","12,627","136,024","34,669","687,731","89,568","41,264","11,018","12,287","308,299","102,847","42,342","20,366","139,312","66,604","23,004","36,266","35,514","44,873","7,416","65,634","89,381","80,280","50,186","19,945","53,392","7,045","19,050","58,111","10,319","120,069","39,221","199,116","114,615","8,092","97,680","71,605","54,785","121,791","18,644","46,669","6,198","70,279","623,956","42,238","3,611","102,272","117,864","10,601","55,698","4,079","42,951"
no_u6_multi,780,876,"9,921","3,214","12,970","2,747",996,445,0,"19,497","7,043","1,563","2,257","4,148","2,341",286,"2,279","1,385","2,348",119,"2,376",244,"2,506","1,446",843,"2,698",321,"1,298","3,322",52,"1,702","2,420","3,061","5,774",0,"5,109","4,196",458,"3,202","1,158","2,326",590,"3,821","60,855","2,384",4,"5,194","3,305",174,"1,749",191,"1,677"
total_618_multi,"75,133","31,427","350,342","87,647","1,693,971","198,552","92,816","22,212","10,896","788,970","255,032","101,269","51,157","350,087","142,823","60,869","93,248","78,600","90,437","19,180","140,032","177,970","189,240","125,044","38,599","117,512","20,571","51,460","129,374","22,054","263,851","116,480","414,363","245,526","13,740","220,334","163,367","131,399","253,820","33,143","93,462","15,711","136,667","1,634,533","92,929","8,742","217,456","267,653","20,584","127,918","13,575","152,905"
with_618_multi,"72,090","29,299","313,749","74,994","1,636,012","188,083","89,588","22,059","10,699","720,886","230,181","99,673","45,930","335,323","132,792","57,408","86,560","74,286","83,118","18,095","133,472","176,910","182,194","120,450","34,232","112,197","19,322","48,937","114,818","21,443","251,188","110,191","402,324","224,605","13,298","208,790","148,060","128,853","242,329","31,791","88,309","14,972","122,163","1,375,450","85,519","8,676","206,198","258,312","20,333","121,276","12,166","150,177"
no_618_multi,"3,043","2,128","36,593","12,653","57,959","10,469","3,228",153,197,"68,084","24,851","1,596","5,227","14,764","10,031","3,461","6,688","4,314","7,319","1,085","6,560","1,060","7,046","4,594","4,367","5,315","1,249","2,523","14,556",611,"12,663","6,289","12,039","20,921",442,"11,544","15,307","2,546","11,491","1,352","5,153",739,"14,504","259,083","7,410",66,"11,258","9,341",251,"6,642","1,409","2,728"
total_1925_multi,"28,580","7,990","163,620","42,435","752,666","86,369","38,847","8,746","7,263","368,016","101,898","35,283","18,241","157,379","59,919","24,119","39,578","32,300","29,669","7,795","50,745","82,538","81,171","43,684","18,102","43,858","6,743","18,335","53,880","9,312","100,508","51,479","180,794","96,934","5,264","83,944","65,518","57,597","104,963","14,088","37,344","5,702","55,290","750,967","33,596","3,264","80,108","105,053","9,763","48,991","4,043","113,179"
with_1925_multi,"22,380","6,085","125,494","33,591","669,577","77,343","33,899","7,564","7,028","288,188","72,276","33,657","14,009","133,736","52,760","20,503","29,836","28,302","23,675","6,848","45,125","77,072","70,985","38,156","13,836","36,712","5,943","14,708","44,650","8,372","86,722","43,744","169,563","76,268","5,205","71,363","48,557","49,139","92,019","12,940","26,820","4,694","40,084","488,315","27,879","3,178","66,302","91,342","8,286","43,131","2,489","105,829"
no_1925_multi,"6,200","1,905","38,126","8,844","83,089","9,026","4,948","1,182",235,"79,828","29,622","1,626","4,232","23,643","7,159","3,616","9,742","3,998","5,994",947,"5,620","5,466","10,186","5,528","4,266","7,146",800,"3,627","9,230",940,"13,786","7,735","11,231","20,666",59,"12,581","16,961","8,458","12,944","1,148","10,524","1,008","15,206","262,652","5,717",86,"13,806","13,711","1,477","5,860","1,554","7,350"
total_2634_multi,"26,173","13,102","198,869","42,888","955,279","112,745","47,564","9,590","12,866","501,250","117,784","44,496","23,073","165,885","61,558","24,049","41,063","34,286","39,440","9,118","55,642","106,772","93,572","50,220","14,221","53,165","11,852","22,436","66,568","12,833","127,331","64,710","276,956","103,952","7,508","100,606","72,067","74,747","112,414","20,975","44,534","9,536","60,959","869,227","39,631","3,605","101,252","132,493","11,043","53,133","6,613","145,231"
with_2634_multi,"19,692","10,981","157,144","31,891","831,233","93,963","40,165","8,012","11,736","376,588","82,916","43,021","18,754","141,109","53,275","18,675","32,481","29,614","28,719","8,057","49,035","99,322","78,492","45,741","11,809","43,213","9,382","17,751","54,686","11,488","99,649","53,500","241,210","78,156","6,433","83,557","53,856","62,359","94,831","16,779","32,496","8,088","44,202","555,185","34,951","3,088","80,897","111,568","9,773","44,040","4,817","129,586"
no_2634_multi,"6,481","2,121","41,725","10,997","124,046","18,782","7,399","1,578","1,130","124,662","34,868","1,475","4,319","24,776","8,283","5,374","8,582","4,672","10,721","1,061","6,607","7,450","15,080","4,479","2,412","9,952","2,470","4,685","11,882","1,345","27,682","11,210","35,746","25,796","1,075","17,049","18,211","12,388","17,583","4,196","12,038","1,448","16,757","314,042","4,680",517,"20,355","20,925","1,270","9,093","1,796","15,645"
